interval,hitsperOccupL3(KB)
0,680.6401785714286
1,504.4189189189189
2,534.3193597560976
3,928.8991477272727
4,1040.123263888889
5,734.7868303571429
6,623.3952205882352
7,463.19281914893617
8,525.6577380952381
9,990.7727272727273
10,444.64130434782606
11,629.9338235294117
12,452.64349489795916
13,547.4828125
14,514.3422619047619
15,408.1077806122449
16,535.3515625
17,346.6028409090909
18,786.0231481481482
19,557.0625
20,558.702302631579
21,959.0411931818181
22,581.4856418918919
23,726.7723214285714
24,548.4923780487804
25,404.2443181818182
26,1388.38671875
27,719.4615384615385
28,470.80752840909093
29,609.0190972222222
30,509.7764423076923
31,540.0144230769231
32,389.84975961538464
33,452.56046195652175
34,443.6484375
35,436.08639705882354
36,542.3659539473684
37,520.7271959459459
38,514.9761029411765
39,645.4545454545455
40,420.6988031914894
41,549.3074324324324
42,404.92367788461536
43,878.25125
44,687.9042338709677
45,392.9186320754717
46,596.4244791666666
47,401.7465909090909
48,701.9170673076923
49,1572.3567708333333
50,521.359375
51,539.2574013157895
52,425.7682291666667
53,446.9010416666667
54,523.2884615384615
55,580.9206081081081
56,778.1412037037037
57,395.61805555555554
58,1008.1122159090909
59,1160.421875
60,862.7798295454545
61,615.3508928571429
62,651.5369318181819
63,727.0666666666667
64,468.6202445652174
65,875.234375
66,703.8168103448276
67,573.9544642857143
68,469.75625
69,516.7171052631579
70,852.2734375
71,454.0197010869565
72,877.305
73,560.4535256410256
74,438.1957908163265
75,468.3380681818182
76,483.78125
77,646.6998106060606
78,566.9094551282051
79,454.515625
80,889.860119047619
81,375.1779336734694
82,793.9242788461538
83,485.06747159090907
84,607.7408088235294
85,477.7413563829787
86,537.5216346153846
87,495.1511627906977
88,1221.8088235294117
89,413.22242647058823
90,636.0179924242424
91,404.4472222222222
92,372.86
93,597.9019097222222
94,961.8565340909091
95,473.0421195652174
96,1323.267578125
97,842.9266826923077
98,411.2337962962963
99,393.9488636363636
100,687.5848214285714
101,1071.358552631579
102,1826.059375
103,416.744375
104,566.6426282051282
105,669.5439453125
106,603.8940972222222
107,422.4641927083333
108,948.9583333333334
109,1241.25
