interval,IPC
0,1.23485
1,1.28188
2,1.68772
3,1.70002
4,1.6694099999999998
5,1.7051599999999998
6,1.9853900000000002
7,2.0274799999999997
8,2.00243
9,1.96325
10,1.9946099999999998
11,2.01613
12,2.04377
13,1.851
14,1.8146400000000003
15,1.8277400000000001
16,1.8264900000000002
17,1.85915
18,2.2204200000000003
19,2.13442
20,2.11575
21,2.0693
22,2.09229
23,2.14037
24,2.1262
25,1.4334
26,1.29939
27,1.7039
28,2.2069900000000002
29,2.16803
30,2.13713
31,2.15473
32,2.117
33,2.1524799999999997
34,2.17955
35,2.1985200000000003
36,2.2347599999999996
37,2.09658
38,2.01167
39,2.09377
40,2.0647900000000003
41,2.05782
42,2.09015
43,2.25937
44,2.26587
45,2.1997
46,2.15309
47,2.16912
48,2.12879
49,2.10459
50,2.12718
51,2.1810099999999997
52,2.20807
53,2.27854
54,2.15659
55,2.1450099999999996
56,2.1186700000000003
57,2.08604
58,2.09499
59,2.04635
60,2.05895
61,2.13027
62,2.3788
63,2.23801
64,2.23319
65,2.18706
66,2.16175
67,2.18738
68,2.19346
69,2.16095
70,2.07594
71,2.22732
72,1.30697
73,1.3224799999999999
74,2.057
75,2.20824
76,2.19398
77,2.16949
78,2.1457599999999997
79,2.16728
80,2.09897
81,2.1012
82,2.1781
83,2.1958
84,2.25696
85,2.15125
86,2.15105
87,2.13501
88,2.11963
89,2.1207700000000003
90,2.0676200000000002
91,2.0442099999999996
92,2.25895
93,2.2823700000000002
94,2.24246
95,2.24424
96,2.22802
97,2.20287
98,2.18364
99,2.20267
100,2.1301799999999997
101,2.19703
102,2.22673
103,2.14225
104,2.18513
105,2.14415
106,2.1423400000000004
107,2.1395299999999997
108,2.14056
109,2.0786
110,2.2317400000000003
