interval,hitsperOccupL3(KB)
0,354.3932291666667
1,57.770833333333336
2,700.046875
3,306.619140625
4,279.15625
5,313.0480769230769
6,647.498046875
7,314.1953125
8,214.51136363636363
9,859.2926136363636
10,521.7678571428571
11,226.408203125
12,676.8323863636364
13,392.4625
14,338.1923076923077
15,214.61693548387098
16,202.27213541666666
17,666.4345703125
18,364.1032196969697
19,237.00074404761904
20,184.1638719512195
21,270.5323275862069
22,214.6888888888889
23,251.19594594594594
24,222.2340425531915
25,2008.65625
26,77.66015625
27,1857.3125
28,188.1030585106383
29,321.5953947368421
30,353.9334239130435
31,197.37965425531914
32,195.33035714285714
33,255.23345588235293
34,229.77631578947367
35,195.6513888888889
36,689.1232142857143
37,382.9573863636364
38,242.6953125
39,406.2200520833333
40,196.2175
41,367.50357142857143
42,217.8497340425532
43,583.3886217948718
44,240.2015306122449
45,202.43136160714286
46,256.35169491525426
47,193.42086693548387
48,219.46646341463415
49,475.1324404761905
50,250.81828703703704
51,249.3125
52,199.7337962962963
53,544.3855932203389
54,227.84821428571428
55,234.22430555555556
56,300.79887820512823
57,246.62116228070175
58,411.61071428571427
59,707.6136363636364
60,175.97798295454547
61,185.44770408163265
62,363.2142857142857
63,288.35361842105266
64,176.64309210526315
65,397.4868421052632
66,250.29791666666668
67,204.07349537037038
68,238.2309451219512
69,355.89797794117646
70,391.00375
71,494.0051020408163
72,59.21875
73,71.23214285714286
74,462.44444444444446
75,187.58549528301887
76,216.724609375
77,245.40925480769232
78,312.45809659090907
79,180.69773706896552
80,286.27455357142856
81,159.205625
82,242.24765625
83,345.8795955882353
84,243.55208333333334
85,200.244140625
86,186.90242346938774
87,169.7465909090909
88,234.39453125
89,206.13991477272728
90,303.03782894736844
91,212.3203125
92,330.28472222222223
93,213.55691964285714
94,550.2615131578947
95,162.24278846153845
96,356.5064655172414
97,491.8425
98,258.6019736842105
99,187.47377232142858
100,417.51875
101,509.78725961538464
102,764.1345108695652
103,246.25245098039215
104,201.09
105,393.64338235294116
106,279.1712239583333
107,299.998046875
108,301.96458333333334
109,562.9423076923077
110,1460.1979166666667
