interval,hitsperOccupL3(KB)
0,197.13125
1,28.321428571428573
2,71.005859375
3,899.78125
4,257.9955357142857
5,212.8375
6,40.985197368421055
7,37.85461956521739
8,171.66360294117646
9,255.5028409090909
10,324.7291666666667
11,173.875
12,101.48611111111111
13,80.21507352941177
14,109.11979166666667
15,110.74305555555556
16,235.321875
17,90.13020833333333
18,76.31919642857143
19,122.36789772727273
20,380.0885416666667
21,304.70089285714283
22,73.31597222222223
23,77.046875
24,261.1536458333333
25,121.90264423076923
26,225.5546875
27,409.125
28,132.00520833333334
29,145.425
30,118.77994791666667
31,110.14791666666666
32,251.59375
33,46.51875
34,159.916015625
35,144.09703947368422
36,106.87642045454545
37,1507.0625
38,64.603125
39,174.84895833333334
40,141.95955882352942
41,139.54779411764707
42,294.60546875
43,130.02678571428572
44,57.94886363636363
45,165.90625
46,64.42274305555556
47,126.92881944444444
48,170.82670454545453
49,117.57589285714286
50,52.03804347826087
51,155.7890625
52,346.625
53,985.921875
54,85.60763888888889
55,47.80288461538461
56,217.37083333333334
57,230.71875
58,2358.25
59,136.82386363636363
60,65.3389423076923
61,498.0625
62,118.55208333333333
63,247.78645833333334
64,139.05208333333334
65,42.6875
66,417.9114583333333
67,254.365625
68,155.89903846153845
69,300.80625
70,570.6875
71,70.54166666666667
72,134.9934210526316
73,121.29934210526316
74,313.17857142857144
75,72.92125
76,inf
77,159.4375
78,191.24479166666666
79,371.65
80,937.15625
81,75.5703125
82,229.90178571428572
83,130.48660714285714
84,155.03125
85,inf
86,97.36328125
87,72.885
88,142.69196428571428
89,142.25173611111111
90,200.03472222222223
91,701.75
92,52.46052631578947
93,390.76785714285717
94,154.42279411764707
95,192.8984375
96,266.0
97,27.220982142857142
98,101.2234375
99,605.6770833333334
100,442.2890625
101,112.64732142857143
102,74.95625
103,71.81971153846153
104,132.16776315789474
105,100.77467105263158
106,748.9375
107,595.4375
108,548.46875
109,133.2996323529412
