interval,hitsL3
0,5828.0
1,16286.0
2,20482.0
3,66104.0
4,716921.0
5,178189.0
6,24543.0
7,24203.0
8,1189090.0
9,1235040.0
10,1230460.0
11,2284400.0
12,2514610.0
13,2520830.0
14,996020.0
15,10755.0
16,344538.0
17,790440.0
18,27468.0
19,28193.0
20,915743.0
21,1229510.0
22,1230830.0
23,2009220.0
24,2518710.0
25,2531280.0
26,1750680.0
27,776015.0
28,26302.0
29,26896.0
30,335175.0
31,1233360.0
32,1229240.0
33,1394760.0
34,2518770.0
35,2529980.0
36,2524140.0
37,639129.0
38,532140.0
39,27130.0
40,26607.0
41,982477.0
42,1229420.0
43,1230650.0
44,2087390.0
45,2525650.0
46,2520800.0
47,1617470.0
48,743387.0
49,27810.0
50,27174.0
51,414721.0
52,1231970.0
53,1231210.0
54,1482120.0
55,2525880.0
56,2518210.0
57,2513240.0
58,691407.0
59,416176.0
60,26803.0
61,27208.0
62,1083010.0
63,1237800.0
64,1233390.0
65,2197270.0
66,2523880.0
67,2528040.0
68,1446760.0
69,684235.0
70,27095.0
71,27665.0
72,533883.0
73,1244140.0
74,1246250.0
75,1615670.0
76,2516490.0
77,2519840.0
78,2339240.0
79,914224.0
80,185295.0
81,27684.0
82,27103.0
83,1165950.0
84,1239360.0
85,1245580.0
86,2282250.0
87,2518610.0
88,2529860.0
89,1287960.0
90,839733.0
91,26917.0
92,27243.0
93,588002.0
94,1233350.0
95,1228840.0
96,1656830.0
97,2522650.0
98,2528390.0
99,2216200.0
100,876841.0
101,133956.0
