interval,IPC
0,0.785435
1,1.20671
2,2.4262900000000003
3,1.81929
4,1.20486
5,2.20277
6,2.52375
7,1.0015
8,1.69125
9,2.5302599999999997
10,2.53235
11,1.31495
12,1.40531
13,2.47057
14,2.5329
15,1.7551299999999999
16,1.19989
17,2.19727
18,2.53385
19,2.51741
20,1.8419299999999998
21,1.15669
22,2.06842
23,2.4979400000000003
24,2.11079
25,2.5182
26,1.9254099999999998
27,1.14375
28,2.08492
29,2.52753
30,2.5248
31,2.52885
32,1.64123
33,1.19604
34,2.35328
35,2.53793
36,2.52858
37,2.4815400000000003
38,1.9729
39,1.09975
40,2.01017
41,2.52405
42,2.54048
43,2.51677
44,2.52887
45,1.37459
46,1.32798
47,2.46473
48,2.51238
49,2.53135
50,2.51959
51,2.48044
52,2.05392
53,1.09158
54,2.00751
55,2.5234
56,2.53048
57,2.5299099999999997
58,2.51955
59,2.52737
60,1.6546299999999998
61,1.19908
62,2.29565
63,2.50868
64,2.41225
65,2.4822599999999997
66,2.47702
67,2.4645200000000003
68,2.03737
69,0.998461
70,1.83697
71,2.52857
72,2.54081
73,2.53058
74,2.50555
75,2.48809
76,2.50183
77,1.56368
78,1.18649
79,2.3253
80,2.49122
81,2.51099
82,2.47799
83,2.3944
84,2.48875
85,2.4974
86,2.3698599999999996
87,0.9629040000000001
88,1.7718200000000002
89,2.49939
90,2.48695
91,2.5396099999999997
92,2.51465
93,2.4915700000000003
94,2.47315
95,2.49119
96,2.5295400000000003
97,1.00817
98,1.5112299999999999
99,2.12997
100,2.4531400000000003
101,2.51793
102,2.45561
