interval,hitsL3
0,327920.0
1,156242.0
2,718535.0
3,234457.0
4,584112.0
5,142314.0
6,470081.0
7,391299.0
8,219256.0
9,634147.0
10,356294.0
11,378408.0
12,81981.0
13,904006.0
14,1177740.0
15,639284.0
16,198065.0
17,54807.0
18,70645.0
19,811089.0
20,308262.0
21,424319.0
22,258221.0
23,279979.0
24,134303.0
25,33671.0
26,131673.0
27,1258690.0
28,105207.0
29,338103.0
30,355014.0
31,314731.0
32,338147.0
33,236841.0
34,81307.0
35,16776.0
36,444782.0
37,76939.0
38,3739280.0
39,190239.0
40,472381.0
41,390900.0
42,410335.0
43,685458.0
44,293622.0
45,226915.0
46,22940.0
47,21266.0
48,100613.0
49,66207.0
50,1097450.0
51,1743470.0
52,281613.0
53,743457.0
54,394208.0
55,452639.0
56,677388.0
57,182156.0
58,323618.0
59,30524.0
60,118202.0
61,117365.0
62,36509.0
63,389864.0
64,1621120.0
65,90803.0
66,203989.0
67,404377.0
68,271484.0
69,507222.0
70,1293240.0
71,732779.0
72,149248.0
73,71977.0
74,394904.0
75,11899.0
76,13446.0
77,24981.0
78,149202.0
79,50848.0
80,34998.0
81,106984.0
82,547941.0
83,6258600.0
84,159436.0
85,110392.0
86,52169.0
87,304636.0
88,242545.0
89,412145.0
90,727294.0
91,1139740.0
92,354917.0
93,227594.0
94,277858.0
95,119858.0
96,66466.0
97,283498.0
98,254237.0
99,5997.0
100,15298.0
101,10724.0
102,85323.0
103,79885.0
104,39678.0
105,40061.0
106,103314.0
107,79251.0
108,1893080.0
109,1471290.0
110,174761.0
111,173119.0
112,39973.0
113,180638.0
