interval,IPC
0,1.57596
1,2.97255
2,2.9887
3,3.01838
4,2.9745
5,2.8585700000000003
6,2.93148
7,2.86534
8,2.86274
9,2.94141
10,3.03499
11,3.03554
12,3.03546
13,3.0243900000000004
14,2.9878099999999996
15,3.03515
16,3.03801
17,3.04009
18,1.22066
19,2.2157
20,2.3592400000000002
21,1.9381
22,2.5645
23,2.11125
24,2.75314
25,2.81047
26,2.82202
27,2.80993
28,2.81453
29,2.80206
30,2.81671
31,2.7823
32,2.7827900000000003
33,2.8000599999999998
34,2.79561
35,2.78039
36,2.78185
37,2.77737
38,2.7581700000000002
39,2.80271
40,2.81713
41,2.81826
42,2.81985
43,2.8258400000000004
44,2.83147
45,2.83046
46,2.83061
47,2.83137
48,2.81606
49,2.77327
50,2.8046599999999997
51,2.7957
52,2.8117400000000004
53,2.81906
54,2.81213
55,2.51983
56,1.05665
57,2.37215
58,2.37108
59,2.36843
60,2.36713
61,2.37529
62,2.37305
63,1.36181
64,2.39445
65,2.58073
66,2.617
67,2.32963
68,1.474
69,2.47717
70,2.49373
71,2.49139
72,2.49345
73,2.1475400000000002
74,1.9440099999999998
75,2.62225
76,2.6773700000000002
77,1.9817799999999999
78,1.42034
79,2.57704
80,2.63922
81,2.28553
82,1.38376
83,2.38889
84,2.52566
85,2.72554
86,1.5535
87,1.63942
88,2.5333900000000003
89,2.5464
90,2.7751900000000003
91,1.61465
92,1.47879
93,2.5393
94,2.6111299999999997
95,2.26063
96,1.38957
97,2.47877
98,2.43289
99,2.4704200000000003
100,1.69845
101,1.6434900000000001
102,2.53578
