interval,IPC
0,2.51867
1,2.80363
2,3.4121699999999997
3,3.3950699999999996
4,3.39914
5,3.39313
6,3.3773400000000002
7,3.40275
8,3.3898699999999997
9,3.37605
10,2.67991
11,2.48033
12,2.46919
13,2.45356
14,2.43923
15,2.46477
16,2.47377
17,2.4593
18,2.42972
19,2.3812
20,2.00123
21,2.8149599999999997
22,2.75116
23,2.69825
24,2.7875099999999997
25,2.8033900000000003
26,2.94576
27,2.97004
28,2.88247
29,2.89309
30,2.8828400000000003
31,2.61898
32,2.6318200000000003
33,2.6354900000000003
34,2.62412
35,2.62558
36,2.62754
37,2.6899
38,2.78619
39,3.37987
40,3.3915599999999997
41,3.3743199999999995
42,3.38136
43,3.38176
44,3.3711300000000004
45,3.3736
46,3.3660900000000002
47,2.9579299999999997
48,2.43775
49,2.37181
50,2.4114
51,2.42087
52,2.42784
53,2.4589
54,2.45116
55,2.4174700000000002
56,2.37988
57,2.49118
58,2.88239
59,2.86438
60,2.9504799999999998
61,2.91825
62,2.91782
63,2.89967
64,2.8496799999999998
65,2.65441
66,2.83261
67,2.83942
68,1.7791099999999997
69,2.16644
70,3.3687199999999997
71,3.3775800000000005
72,3.3734599999999997
73,3.3939
74,3.3906699999999996
75,3.3544099999999997
76,3.3088599999999997
77,3.38118
78,2.81453
79,2.42239
80,2.4050599999999998
81,2.28355
82,2.4395
83,2.44286
84,2.34226
85,2.31904
86,2.30051
87,2.47562
88,2.55094
89,3.0004299999999997
90,3.01021
91,3.0134
92,3.05063
93,2.90903
94,2.97951
95,2.97206
96,2.90888
97,3.022
98,2.47454
99,1.62973
100,2.5152400000000004
101,3.38423
102,3.3094
103,3.34869
