interval,hitsL3
0,129463.0
1,76877.0
2,283604.0
3,251144.0
4,204033.0
5,294591.0
6,447034.0
7,128493.0
8,375005.0
9,257754.0
10,253021.0
11,489070.0
12,97897.0
13,338451.0
14,319086.0
15,193946.0
16,500863.0
17,96833.0
18,312790.0
19,382423.0
20,159271.0
21,442659.0
22,159584.0
23,284476.0
24,439547.0
25,117697.0
26,366416.0
27,277660.0
28,232657.0
29,494529.0
30,83324.0
31,310142.0
32,344097.0
33,174159.0
34,475776.0
35,95447.0
36,269225.0
37,413680.0
38,125257.0
39,344365.0
40,263853.0
41,217333.0
42,476157.0
43,74038.0
44,311798.0
45,350479.0
46,156811.0
47,455565.0
48,123655.0
49,262141.0
50,428428.0
51,105875.0
52,338749.0
53,290220.0
54,196258.0
55,446584.0
56,101120.0
57,241887.0
58,393751.0
59,117413.0
60,299942.0
61,266838.0
62,214154.0
63,453169.0
64,82095.0
65,244431.0
66,360346.0
67,68343.0
68,247947.0
69,314468.0
70,98720.0
71,264627.0
72,189144.0
73,125377.0
74,314260.0
75,130831.0
76,158811.0
77,439584.0
78,50123.0
79,162416.0
80,347154.0
81,70667.0
82,170296.0
83,323564.0
84,87230.0
85,170911.0
86,284591.0
87,144390.0
88,300098.0
89,586346.0
90,100023.0
91,231407.0
92,1793980.0
93,155081.0
94,235861.0
95,1631220.0
96,201347.0
97,349075.0
98,60077.0
99,146359.0
100,372300.0
101,92755.0
102,159921.0
103,333278.0
104,138854.0
105,220665.0
106,2286830.0
107,161635.0
108,365061.0
