interval,IPC
0,2.6150599999999997
1,3.27231
2,3.24842
3,3.24972
4,3.22925
5,3.2417599999999998
6,3.19066
7,3.27651
8,3.25962
9,3.1734400000000003
10,3.21916
11,3.22578
12,3.2446099999999998
13,3.23046
14,3.1733700000000002
15,3.2669799999999998
16,3.2610099999999997
17,3.20886
18,3.24795
19,3.20741
20,3.2884300000000004
21,3.29164
22,3.22419
23,3.2702
24,3.2502400000000002
25,3.2696099999999997
26,3.3186199999999997
27,3.275
28,3.3025
29,3.3005699999999996
30,3.26389
31,1.7454599999999998
32,0.9000790000000001
33,0.9156270000000001
34,0.895294
35,0.854598
36,0.895051
37,0.889767
38,0.905867
39,0.9157049999999999
40,0.855295
41,0.8960819999999999
42,0.898338
43,0.8592540000000001
44,0.9145969999999999
45,0.901194
46,0.8928780000000001
47,0.899028
48,0.8633120000000001
49,0.9002819999999999
50,0.8932620000000001
51,0.8599180000000001
52,0.941578
53,0.887241
54,0.88455
55,0.8958389999999999
56,0.8615120000000001
57,0.897357
58,0.901544
59,0.873994
60,0.925905
61,0.8699680000000001
62,0.896366
63,0.8998729999999999
64,0.86111
65,0.8948370000000001
66,0.8851610000000001
67,0.88836
68,0.9276719999999999
69,0.872706
70,0.898925
71,0.893598
72,0.8547620000000001
73,0.899392
74,0.8794930000000001
75,0.879517
76,0.932833
77,0.879608
78,0.9019370000000001
79,0.89535
80,0.8631129999999999
81,0.892814
82,0.8665729999999999
83,0.8915379999999999
84,0.891719
85,0.8802549999999999
86,0.9227290000000001
87,0.902083
88,0.8704569999999999
89,0.9007700000000001
90,0.8512280000000001
91,0.90199
92,0.9043370000000001
93,0.857273
94,0.897064
95,0.905618
96,0.89985
97,0.912178
98,0.8630389999999999
99,0.894948
100,0.8968940000000001
101,0.8632780000000001
102,0.9263950000000001
103,0.906442
104,0.8899299999999999
105,0.917429
