interval,hitsL3
0,24182.0
1,26076.0
2,41139.0
3,24075.0
4,24599.0
5,24782.0
6,38341.0
7,36097.0
8,43450.0
9,23276.0
10,38795.0
11,31968.0
12,23954.0
13,24574.0
14,21074.0
15,23766.0
16,41806.0
17,34662.0
18,42036.0
19,30262.0
20,39348.0
21,25639.0
22,34348.0
23,32080.0
24,32826.0
25,28163.0
26,35445.0
27,36039.0
28,39330.0
29,27193.0
30,29945.0
31,30021.0
32,24765.0
33,41105.0
34,39831.0
35,28414.0
36,35707.0
37,29028.0
38,30040.0
39,26405.0
40,23860.0
41,32134.0
42,30674.0
43,33826.0
44,32740.0
45,28332.0
46,44597.0
47,32689.0
48,34925.0
49,22315.0
50,21309.0
51,30988.0
52,30038.0
53,31318.0
54,42247.0
55,31957.0
56,22248.0
57,28491.0
58,31133.0
59,29771.0
60,34661.0
61,27989.0
62,40930.0
63,27579.0
64,25997.0
65,26793.0
66,31094.0
67,29390.0
68,30796.0
69,20454.0
70,28514.0
71,32625.0
72,24116.0
73,26761.0
74,36560.0
75,26889.0
76,34722.0
77,29784.0
78,33555.0
79,37690.0
80,32501.0
81,30001.0
82,35898.0
83,29792.0
84,39995.0
85,31092.0
86,33013.0
87,21912.0
88,22320.0
89,36833.0
90,31054.0
91,21916.0
92,31760.0
93,26048.0
94,25104.0
95,27372.0
96,27600.0
97,25226.0
98,30442.0
99,26556.0
