interval,hitsL3
0,67420.0
1,27050.0
2,28933.0
3,34405.0
4,27682.0
5,22965.0
6,25348.0
7,23303.0
8,28565.0
9,22786.0
10,27111.0
11,31069.0
12,33092.0
13,39549.0
14,36490.0
15,29216.0
16,33406.0
17,42701.0
18,61421.0
19,4515310.0
20,6017650.0
21,3295700.0
22,307340.0
23,220069.0
24,51565.0
25,85492.0
26,43835.0
27,65136.0
28,46010.0
29,78785.0
30,51156.0
31,45928.0
32,48508.0
33,87311.0
34,50172.0
35,80682.0
36,53376.0
37,80006.0
38,46091.0
39,53596.0
40,40946.0
41,80831.0
42,44991.0
43,68023.0
44,46183.0
45,77808.0
46,44447.0
47,43211.0
48,45472.0
49,72999.0
50,38987.0
51,64619.0
52,46808.0
53,80422.0
54,43308.0
55,32537.0
56,377189.0
57,7023380.0
58,5819180.0
59,6944780.0
60,5896250.0
61,6939440.0
62,5850230.0
63,1077400.0
64,275603.0
65,572690.0
66,144674.0
67,447422.0
68,78266.0
69,6371050.0
70,5624350.0
71,5722930.0
72,5605280.0
73,5842700.0
74,249627.0
75,639979.0
76,234671.0
77,522037.0
78,101091.0
79,452327.0
80,207384.0
81,595456.0
82,76089.0
83,311661.0
84,395347.0
85,440907.0
86,174697.0
87,126479.0
88,469263.0
89,326219.0
90,182685.0
91,483533.0
92,88566.0
93,612339.0
94,314977.0
95,441506.0
96,165531.0
97,137068.0
98,500373.0
99,473709.0
100,559102.0
101,116196.0
102,629404.0
103,265815.0
