interval,hitsL3
0,8592.0
1,16410.0
2,21201.0
3,59572.0
4,698416.0
5,270933.0
6,25072.0
7,24710.0
8,1235140.0
9,1387350.0
10,1378660.0
11,2213900.0
12,2535730.0
13,2537910.0
14,1425330.0
15,8117.0
16,333353.0
17,847393.0
18,24574.0
19,24304.0
20,710698.0
21,1368850.0
22,1373130.0
23,1706790.0
24,2510680.0
25,2524470.0
26,2464240.0
27,736671.0
28,494217.0
29,22776.0
30,23621.0
31,1107690.0
32,1348470.0
33,1357970.0
34,2003510.0
35,2478780.0
36,2515990.0
37,1996560.0
38,1108300.0
39,61026.0
40,23384.0
41,53688.0
42,1373560.0
43,1354970.0
44,1370540.0
45,2260290.0
46,2499270.0
47,2514260.0
48,1530150.0
49,971101.0
50,24410.0
51,23009.0
52,333511.0
53,1375390.0
54,1357860.0
55,1355800.0
56,2468740.0
57,2485280.0
58,2505880.0
59,1140640.0
60,1010980.0
61,22719.0
62,22809.0
63,531189.0
64,1362080.0
65,1335350.0
66,1468970.0
67,2453460.0
68,2466790.0
69,2530550.0
70,915695.0
71,780103.0
72,22535.0
73,22537.0
74,704526.0
75,1348550.0
76,1337840.0
77,1623500.0
78,2484800.0
79,2468790.0
80,2480970.0
81,662219.0
82,1030750.0
83,22635.0
84,22374.0
85,807167.0
86,1332090.0
87,1363560.0
88,1700670.0
89,2439470.0
90,2465170.0
91,2446340.0
92,663549.0
93,894011.0
94,21745.0
95,21956.0
96,913965.0
97,1359000.0
98,1335450.0
99,1796850.0
100,2484620.0
101,2488330.0
102,2316060.0
103,885317.0
104,668993.0
