interval,IPC
0,2.42477
1,2.48928
2,2.49288
3,2.46585
4,2.2164
5,2.6238900000000003
6,2.34337
7,2.65918
8,2.83544
9,2.29091
10,2.14483
11,2.38711
12,2.5313
13,2.62775
14,2.72778
15,2.8436
16,2.34036
17,2.206
18,1.9472099999999999
19,2.30094
20,2.1026
21,2.3549900000000004
22,2.4843599999999997
23,2.56176
24,2.55577
25,2.60527
26,2.70361
27,2.73975
28,2.69925
29,2.5588900000000003
30,1.9419400000000002
31,2.38076
32,2.00562
33,2.11134
34,2.4337
35,2.1286099999999997
36,2.18805
37,2.48988
38,2.4388900000000002
39,2.51968
40,2.61335
41,2.59827
42,2.56787
43,2.62295
44,2.64967
45,2.8252900000000003
46,2.7254099999999997
47,2.79842
48,2.62604
49,2.74383
50,2.396
51,2.5910900000000003
52,2.35129
53,2.56471
54,2.7644599999999997
55,2.82693
56,2.40501
57,2.21521
58,2.08763
59,2.17791
60,2.4205900000000002
61,2.58688
62,2.50318
63,2.74911
64,2.69204
65,2.725
66,2.72864
67,2.7923
68,2.79622
69,2.3619
70,1.51647
71,2.3849099999999996
72,2.37449
73,1.9912900000000002
74,1.7841799999999999
75,2.24315
76,2.4201900000000003
77,2.24608
78,2.0276099999999997
79,2.41397
80,2.18967
81,2.52223
82,2.52543
83,2.48906
84,2.56725
85,2.69069
86,2.71552
87,2.64193
88,2.65484
89,2.6919299999999997
90,2.5815200000000003
91,2.76202
92,2.7746
93,2.73529
94,2.7230000000000003
95,2.70972
96,2.71532
97,2.2222299999999997
98,2.48948
99,1.7468599999999999
100,1.6062299999999998
101,2.3193099999999998
102,2.51116
103,2.42829
104,2.2662299999999997
105,2.24966
106,1.72491
