interval,IPC
0,1.5897700000000001
1,2.95107
2,3.00223
3,3.03315
4,2.95705
5,2.85889
6,2.95961
7,2.8685
8,2.87525
9,2.95586
10,3.02873
11,3.04242
12,3.03685
13,3.02493
14,2.97733
15,3.03831
16,3.0043900000000003
17,3.00739
18,1.24219
19,2.22578
20,2.36725
21,1.9627700000000001
22,2.6205
23,2.13057
24,2.80135
25,2.8213
26,2.81026
27,2.78233
28,2.81106
29,2.81173
30,2.8178799999999997
31,2.77026
32,2.77446
33,2.80292
34,2.78443
35,2.77086
36,2.78998
37,2.75412
38,2.7599299999999998
39,2.79484
40,2.82002
41,2.8136
42,2.80694
43,2.82898
44,2.82084
45,2.8124
46,2.81786
47,2.82005
48,2.79451
49,2.7770200000000003
50,2.8378099999999997
51,2.82971
52,2.8197799999999997
53,2.82249
54,2.83471
55,2.43887
56,1.14723
57,2.37425
58,2.36774
59,2.36305
60,2.36796
61,2.37451
62,2.36928
63,1.4016899999999999
64,2.60829
65,2.56013
66,2.63417
67,2.16874
68,1.72639
69,2.46214
70,2.47152
71,2.49622
72,2.47681
73,1.92547
74,2.2126799999999998
75,2.71853
76,2.55187
77,1.74439
78,1.65517
79,2.5316
80,2.5729
81,2.20005
82,1.37155
83,2.4024
84,2.69007
85,2.68689
86,1.39323
87,1.9124900000000002
88,2.54956
89,2.63274
90,2.68128
91,1.41131
92,1.69997
93,2.60034
94,2.61217
95,2.11865
96,1.32378
97,2.5640400000000003
98,2.68412
99,2.4657
100,1.39995
101,2.22625
102,2.59912
