interval,hitsL3
0,1498460.0
1,1571460.0
2,602056.0
3,527730.0
4,741526.0
5,794556.0
6,354544.0
7,328635.0
8,217887.0
9,383785.0
10,317374.0
11,338684.0
12,450818.0
13,307722.0
14,271198.0
15,372995.0
16,379109.0
17,441015.0
18,676359.0
19,514891.0
20,227233.0
21,296102.0
22,236764.0
23,598936.0
24,598936.0
25,204192.0
26,230124.0
27,221777.0
28,488083.0
29,344391.0
30,514737.0
31,357721.0
32,200601.0
33,271318.0
34,296238.0
35,222157.0
36,187705.0
37,423606.0
38,243424.0
39,301173.0
40,382422.0
41,261974.0
42,256109.0
43,266119.0
44,355672.0
45,288838.0
46,249445.0
47,301017.0
48,180557.0
49,185901.0
50,10189.0
51,12314.0
52,15705.0
53,26786.0
54,6149.0
55,12026.0
56,21842.0
57,19650.0
58,7496.0
59,10628.0
60,17693.0
61,32865.0
62,6875.0
63,8464.0
64,10097.0
65,9915.0
66,27742.0
67,6427.0
68,7367.0
69,22579.0
70,1169000.0
71,571709.0
72,488032.0
73,724721.0
74,806005.0
75,701986.0
76,562083.0
77,255292.0
78,463757.0
79,361435.0
80,770744.0
81,554666.0
82,236718.0
83,220860.0
84,372597.0
85,404357.0
86,285106.0
87,376848.0
88,329925.0
89,410437.0
90,459318.0
91,267067.0
92,276243.0
93,268741.0
94,280402.0
95,305194.0
96,279672.0
97,451152.0
98,365504.0
99,354974.0
100,381956.0
101,221652.0
102,311807.0
103,400687.0
104,255419.0
105,299307.0
106,326659.0
107,257837.0
108,458866.0
109,422005.0
110,386461.0
111,342558.0
112,294085.0
