interval,hitsperOccupL3(KB)
0,17.870535714285715
1,42.9375
2,38.1875
3,140.3125
4,25.546875
5,77.515625
6,26.802083333333332
7,31.6125
8,50.322916666666664
9,82.375
10,27.3625
11,27.79375
12,32.921875
13,22.053571428571427
14,30.14375
15,71.5
16,26.34375
17,31.325
18,36.28125
19,26.875
20,27.23125
21,45.65625
22,22.361607142857142
23,176.3125
24,51.78125
25,47.5625
26,42.963541666666664
27,47.4921875
28,88.75
29,149.97916666666666
30,76.96527777777777
31,242.609375
32,177.890625
33,253.0078125
34,214.91875
35,191.671875
36,224.359375
37,118.7548076923077
38,144.83984375
39,142.61458333333334
40,715.515625
41,241.225
42,238.046875
43,107.51302083333333
44,278.71875
45,169.125
46,158.75
47,198.39285714285714
48,248.19791666666666
49,1751.8125
50,226.97916666666666
51,512.8958333333334
52,300.025
53,222.91145833333334
54,141.171875
55,141.23011363636363
56,104.42548076923077
57,68.79934210526316
58,141.64204545454547
59,380.5416666666667
60,92.24278846153847
61,128.5596590909091
62,126.91796875
63,121.25625
64,142.653125
65,301.4739583333333
66,351.7
67,349.8625
68,123.71651785714286
69,172.38888888888889
70,195.5625
71,177.0625
72,186.91517857142858
73,133.0625
74,287.2375
75,228.6875
76,158.05859375
77,155.01339285714286
78,115.54513888888889
79,1083.46875
80,99.07638888888889
81,199.86875
82,127.57291666666667
83,81.84583333333333
84,108.67897727272727
85,167.33854166666666
86,128.3359375
87,177.75
88,95.1875
89,138.0859375
90,142.62053571428572
91,169.94270833333334
92,185.84375
93,151.4765625
94,153.86328125
95,625.828125
96,587.828125
97,139.03515625
98,196.41666666666666
99,185.54166666666666
100,228.83854166666666
101,176.4140625
102,611.65625
103,154.97265625
104,172.25
105,193.93303571428572
106,134.0234375
107,133.8046875
