interval,hitsL3
0,23271.0
1,17290.0
2,18306.0
3,25244.0
4,16171.0
5,18346.0
6,18998.0
7,19812.0
8,15343.0
9,17918.0
10,38471.0
11,15729.0
12,16369.0
13,20118.0
14,13429.0
15,15202.0
16,23947.0
17,22402.0
18,22886.0
19,20794.0
20,22192.0
21,15847.0
22,20193.0
23,21614.0
24,18295.0
25,15039.0
26,19357.0
27,17158.0
28,13303.0
29,15851.0
30,22536.0
31,17662.0
32,16490.0
33,24828.0
34,18374.0
35,21052.0
36,15707.0
37,24584.0
38,16697.0
39,13880.0
40,19460.0
41,17260.0
42,17891.0
43,21153.0
44,18752.0
45,12285.0
46,14137.0
47,21275.0
48,16065.0
49,15578.0
50,15794.0
51,12880.0
52,14957.0
53,14472.0
54,19711.0
55,15160.0
56,15136.0
57,13436.0
58,13614.0
59,16135.0
60,13247.0
61,16150.0
62,12049.0
63,13753.0
64,15688.0
65,17938.0
66,9348.0
67,13663.0
68,16235.0
69,18074.0
70,13316.0
71,14892.0
72,19539.0
73,16093.0
74,15187.0
75,20547.0
76,17921.0
77,16273.0
78,14874.0
79,22971.0
80,27061.0
81,14590.0
82,15224.0
83,20009.0
84,17086.0
85,17452.0
86,17718.0
87,17250.0
88,12119.0
89,15633.0
90,19537.0
91,14276.0
92,13345.0
93,16213.0
94,19004.0
95,15954.0
96,18534.0
97,21103.0
98,17914.0
99,18215.0
100,17870.0
101,21363.0
102,18786.0
103,17458.0
104,19323.0
105,24204.0
106,25772.0
107,22380.0
108,19999.0
109,26667.0
110,16890.0
111,25020.0
112,16565.0
113,24266.0
114,18656.0
115,24952.0
116,20892.0
117,23374.0
118,23741.0
119,22224.0
120,25131.0
