interval,hitsL3
0,25298.0
1,24467.0
2,19153.0
3,29886.0
4,20726.0
5,20988.0
6,25983.0
7,25873.0
8,20133.0
9,22860.0
10,21538.0
11,20555.0
12,18778.0
13,24432.0
14,15637.0
15,20407.0
16,28880.0
17,23630.0
18,19937.0
19,21892.0
20,17628.0
21,22186.0
22,21209.0
23,23602.0
24,20256.0
25,18852.0
26,19485.0
27,22132.0
28,18064.0
29,24077.0
30,21067.0
31,25273.0
32,19471.0
33,28579.0
34,20710.0
35,22271.0
36,17971.0
37,22302.0
38,17050.0
39,18506.0
40,19410.0
41,19725.0
42,19364.0
43,22395.0
44,21589.0
45,20619.0
46,18382.0
47,23249.0
48,18302.0
49,19869.0
50,18208.0
51,18551.0
52,19131.0
53,22138.0
54,18771.0
55,18264.0
56,20761.0
57,18627.0
58,17243.0
59,19740.0
60,15452.0
61,18088.0
62,14360.0
63,15452.0
64,19134.0
65,18005.0
66,12477.0
67,12223.0
68,23062.0
69,15141.0
70,18830.0
71,18407.0
72,22721.0
73,16161.0
74,19366.0
75,17573.0
76,25207.0
77,17539.0
78,18585.0
79,19552.0
80,18970.0
81,15680.0
82,19539.0
83,16276.0
84,17836.0
85,20435.0
86,15309.0
87,18298.0
88,15081.0
89,16452.0
90,17316.0
91,16069.0
92,17193.0
93,16782.0
94,14035.0
95,16119.0
96,19286.0
97,19641.0
98,20413.0
99,23315.0
100,15483.0
101,18117.0
102,19810.0
103,18153.0
104,24287.0
105,18078.0
106,15697.0
107,16650.0
108,21236.0
109,16697.0
110,22273.0
111,20427.0
112,25750.0
113,21500.0
114,25292.0
115,28623.0
116,29699.0
117,20396.0
118,28595.0
119,26059.0
120,24782.0
121,18403.0
