interval,hitsperOccupL3(KB)
0,121.203125
1,180.10416666666666
2,95.34375
3,131.47916666666666
4,168.44791666666666
5,191.10416666666666
6,98.94791666666667
7,206.375
8,119.8671875
9,186.64583333333334
10,400.7395833333333
11,81.921875
12,127.8828125
13,314.34375
14,419.65625
15,118.765625
16,149.66875
17,175.015625
18,178.796875
19,81.2265625
20,231.16666666666666
21,99.04375
22,157.7578125
23,168.859375
24,inf
25,156.65625
26,201.63541666666666
27,76.59821428571429
28,103.9296875
29,247.671875
30,117.375
31,275.96875
32,171.77083333333334
33,129.3125
34,82.02678571428571
35,164.46875
36,98.16875
37,128.04166666666666
38,260.890625
39,108.4375
40,67.56944444444444
41,179.79166666666666
42,79.87053571428571
43,inf
44,117.2
45,127.96875
46,55.22265625
47,332.421875
48,167.34375
49,162.27083333333334
50,61.6953125
51,201.25
52,233.703125
53,452.25
54,153.9921875
55,157.91666666666666
56,473.0
57,104.96875
58,106.359375
59,100.84375
60,68.99479166666667
61,504.6875
62,inf
63,214.890625
64,490.25
65,560.5625
66,97.375
67,106.7421875
68,63.41796875
69,188.27083333333334
70,104.03125
71,93.075
72,305.296875
73,71.84375
74,474.59375
75,160.5234375
76,186.67708333333334
77,84.75520833333333
78,116.203125
79,179.4609375
80,211.4140625
81,151.97916666666666
82,52.861111111111114
83,125.05625
84,133.484375
85,545.375
86,184.5625
87,134.765625
88,75.74375
89,488.53125
90,152.6328125
91,inf
92,104.2578125
93,72.37946428571429
94,296.9375
95,99.7125
96,144.796875
97,73.27430555555556
98,69.9765625
99,189.73958333333334
100,111.6875
101,111.265625
102,97.84375
103,136.390625
104,301.921875
105,108.05357142857143
106,268.4583333333333
107,63.57954545454545
108,208.32291666666666
109,83.334375
110,87.96875
111,111.69642857142857
112,129.4140625
113,189.578125
114,194.33333333333334
115,779.75
116,163.21875
117,365.21875
118,741.90625
119,173.625
120,196.3359375
