interval,hitsL3
0,21549.0
1,23251.0
2,22948.0
3,25496.0
4,22617.0
5,22715.0
6,23473.0
7,26424.0
8,21716.0
9,21912.0
10,22485.0
11,20786.0
12,21737.0
13,21102.0
14,20434.0
15,23551.0
16,21879.0
17,21226.0
18,20846.0
19,21356.0
20,22523.0
21,20813.0
22,22440.0
23,22188.0
24,22151.0
25,21501.0
26,23199.0
27,20478.0
28,21442.0
29,21715.0
30,21487.0
31,20553.0
32,21698.0
33,20553.0
34,23173.0
35,19959.0
36,20075.0
37,22435.0
38,21262.0
39,21078.0
40,21266.0
41,20938.0
42,19841.0
43,21152.0
44,21849.0
45,20662.0
46,21105.0
47,21606.0
48,19436.0
49,20512.0
50,21204.0
51,20469.0
52,21302.0
53,21466.0
54,21071.0
55,20566.0
56,20453.0
57,20078.0
58,20257.0
59,19925.0
60,20410.0
61,22736.0
62,19771.0
63,20277.0
64,19512.0
65,19843.0
66,18529.0
67,19441.0
68,18509.0
69,17310.0
70,17413.0
71,15759.0
72,11331.0
73,14729.0
74,14856.0
75,11399.0
76,10102.0
77,10973.0
78,10161.0
79,11843.0
80,11290.0
81,10441.0
82,10928.0
83,11676.0
84,11072.0
85,10427.0
86,11344.0
87,11460.0
88,9973.0
89,11329.0
90,11010.0
91,10872.0
92,14842.0
93,11722.0
94,10675.0
95,10900.0
96,10778.0
97,10374.0
98,10708.0
99,10286.0
