interval,hitsperOccupL3(KB)
0,7.892045454545454
1,13.78321335078534
2,14.71875
3,79.92289959016394
4,23.41652199074074
5,15.101692708333333
6,112.92133084577114
7,34.08310810810811
8,43.229828042328045
9,46.71995192307692
10,110.84042553191489
11,33.396647135416664
12,30.975273058252426
13,17.04722850678733
14,12.14334577114428
15,20.711919398907103
16,18.951195219123505
17,13.292447916666667
18,32.92741297468354
19,47.91725852272727
20,54.48608576642336
21,43.23690878378378
22,58.67004310344828
23,44.33006756756757
24,92.6046875
25,19.339522946859905
26,31.944791666666667
27,150.4265525477707
28,44.83652456647399
29,108.64852335164835
30,40.748263888888886
31,80.10789106145252
32,49.7373106060606
33,25.255414603960396
34,26.38899253731343
35,47.85377358490566
36,54.7615234375
37,32.472596153846155
38,41.19651741293532
39,47.83882705479452
40,54.09458333333333
41,34.048170731707316
42,25.800390625
43,47.314040492957744
44,63.609375
45,58.91701158940398
46,44.5194209039548
47,74.46164772727273
48,62.367464539007095
49,61.53871855345912
50,36.00932320441989
51,40.56155303030303
52,53.48467741935484
53,55.53915662650602
54,62.01477713178294
55,68.33973214285714
56,58.21961206896552
57,47.25127180232558
58,45.235416666666666
59,60.69951923076923
60,66.32300420168067
61,92.70130208333333
62,98.10684523809523
63,90.9945
64,134.11278735632183
65,139.2827380952381
66,117.2733552631579
67,127.99513888888889
68,136.87743506493507
69,107.80790441176471
70,108.14917452830188
71,123.40226063829788
72,133.9712643678161
73,186.296875
74,634.2278645833334
75,448.83617424242425
76,162.98557692307693
77,207.69618055555554
78,159.35135135135135
79,364.085
80,321.435393258427
81,157.56541666666666
82,261.844414893617
83,177.59561567164178
84,163.69910714285714
85,141.77003205128204
86,169.43190298507463
87,160.53958333333333
88,196.50953389830508
89,174.07608695652175
90,181.06155303030303
91,201.11422413793105
92,168.67142857142858
93,128.2078488372093
94,107.82269736842105
95,182.09232954545453
96,153.36708333333334
97,139.15122126436782
98,154.78814935064935
99,243.57908163265307
100,265.9029947916667
101,274.6892361111111
102,101.80357142857143
103,102.13258495145631
104,149.84452160493828
105,221.6111918604651
106,137.6630747126437
107,136.72341954022988
108,397.3625992063492
109,169.24757281553397
110,113.55243055555556
111,129.85367647058823
112,160.30736301369862
113,171.30253623188406
114,121.10738031914893
115,218.3602272727273
116,161.92594178082192
117,179.14412313432837
118,92.16753472222223
119,148.29093309859155
120,242.1452205882353
121,160.6440033783784
122,211.1781798245614
123,163.17838541666666
124,150.412109375
125,315.41778846153846
126,101.24440789473684
127,97.00773514851485
128,150.31205985915494
129,131.80494505494505
130,210.4331896551724
131,306.9207427536232
132,279.5907939189189
133,152.1854967948718
134,252.79166666666666
135,178.5096450617284
136,122.659765625
137,138.26041666666666
138,137.73357371794873
139,263.44419642857144
