interval,hitsL3
0,1516960.0
1,1576120.0
2,480013.0
3,456431.0
4,654699.0
5,743241.0
6,663545.0
7,607879.0
8,146214.0
9,281223.0
10,269181.0
11,627558.0
12,263260.0
13,166883.0
14,429568.0
15,372447.0
16,581233.0
17,535454.0
18,565958.0
19,492912.0
20,416492.0
21,439836.0
22,557251.0
23,468948.0
24,427687.0
25,445336.0
26,342477.0
27,411183.0
28,376179.0
29,661800.0
30,390536.0
31,482231.0
32,549304.0
33,364656.0
34,495853.0
35,384848.0
36,364535.0
37,308260.0
38,381426.0
39,288723.0
40,477697.0
41,473710.0
42,401026.0
43,566252.0
44,417968.0
45,422019.0
46,290832.0
47,434378.0
48,335181.0
49,343279.0
50,142318.0
51,12498.0
52,10533.0
53,13285.0
54,21034.0
55,6451.0
56,11779.0
57,23536.0
58,22094.0
59,7084.0
60,7960.0
61,14225.0
62,30198.0
63,8013.0
64,7587.0
65,9620.0
66,12477.0
67,19758.0
68,8529.0
69,5906.0
70,12528.0
71,1006250.0
72,484095.0
73,527611.0
74,555424.0
75,712955.0
76,697411.0
77,629117.0
78,451431.0
79,589277.0
80,833395.0
81,736871.0
82,640191.0
83,417292.0
84,347046.0
85,345806.0
86,552602.0
87,509882.0
88,436134.0
89,648293.0
90,447009.0
91,421746.0
92,552423.0
93,440598.0
94,479765.0
95,407282.0
96,362458.0
97,462534.0
98,259382.0
99,721466.0
100,408524.0
101,475252.0
102,506872.0
103,365134.0
104,368559.0
105,561008.0
106,382493.0
107,330933.0
108,356299.0
109,297329.0
110,361948.0
111,511508.0
112,406632.0
113,519209.0
114,519897.0
