interval,hitsL3
0,34292.0
1,12398.0
2,40725.0
3,61529.0
4,50891.0
5,46116.0
6,21996.0
7,28048.0
8,60652.0
9,51705.0
10,52244.0
11,55907.0
12,27487.0
13,20775.0
14,66190.0
15,56726.0
16,57475.0
17,35150.0
18,14422.0
19,49372.0
20,47697.0
21,53677.0
22,30868.0
23,26128.0
24,52292.0
25,65464.0
26,53706.0
27,62196.0
28,31284.0
29,26101.0
30,58258.0
31,53146.0
32,53564.0
33,35639.0
34,19127.0
35,57243.0
36,47478.0
37,54435.0
38,30197.0
39,22880.0
40,39708.0
41,62177.0
42,50940.0
43,53122.0
44,46907.0
45,18859.0
46,34815.0
47,55231.0
48,54777.0
49,57117.0
50,40330.0
51,26238.0
52,54231.0
53,49381.0
54,49353.0
55,34900.0
56,33033.0
57,68174.0
58,54840.0
59,61579.0
60,56721.0
61,22335.0
62,40321.0
63,56308.0
64,58886.0
65,45773.0
66,12551.0
67,34006.0
68,52529.0
69,50911.0
70,46295.0
71,22728.0
72,28427.0
73,54818.0
74,55880.0
75,47437.0
76,57963.0
77,33793.0
78,18350.0
79,52000.0
80,55032.0
81,60238.0
82,38517.0
83,13700.0
84,43727.0
85,51930.0
86,51232.0
87,37263.0
88,24807.0
89,51260.0
90,62755.0
91,55278.0
92,62019.0
93,35152.0
94,23028.0
95,61772.0
96,54112.0
97,60346.0
98,20711.0
99,15038.0
100,52373.0
101,50018.0
102,52538.0
103,34315.0
104,21617.0
105,39274.0
106,61844.0
107,48874.0
108,54925.0
109,50900.0
110,19359.0
111,30078.0
112,58843.0
