interval,hitsperOccupL3(KB)
0,43.1875
1,inf
2,127.34375
3,144.0
4,inf
5,67.609375
6,inf
7,145.375
8,inf
9,inf
10,66.984375
11,inf
12,182.03125
13,73.15625
14,143.78125
15,136.34375
16,142.09375
17,inf
18,134.46875
19,70.71875
20,179.9375
21,53.177083333333336
22,inf
23,133.53125
24,67.453125
25,inf
26,228.78125
27,73.76041666666667
28,inf
29,87.4375
30,312.8125
31,263.953125
32,388.59375
33,1064.84375
34,368.28125
35,225.171875
36,379.59375
37,190.11875
38,110.55
39,224.45
40,625.328125
41,102.35625
42,275.0859375
43,286.7734375
44,584.59375
45,290.6875
46,574.609375
47,380.5104166666667
48,1007.25
49,434.0416666666667
50,622.40625
51,inf
52,397.90625
53,293.43125
54,1196.9375
55,1168.90625
56,284.2890625
57,265.98125
58,1381.09375
59,169.69642857142858
60,232.16875
61,637.890625
62,191.09375
63,363.5104166666667
64,373.7916666666667
65,172.94270833333334
66,250.640625
67,123.80859375
68,270.475
69,1371.59375
70,1392.5
71,161.29513888888889
72,201.75446428571428
73,inf
74,251.125
75,273.765625
76,170.26339285714286
77,210.28125
78,622.0
79,inf
80,1171.53125
81,1096.15625
82,304.375
83,219.7578125
84,888.46875
85,374.8645833333333
86,1274.65625
87,238.91875
88,296.1484375
89,1176.28125
90,534.140625
91,323.8229166666667
92,325.6041666666667
93,512.5625
94,599.109375
95,176.4375
96,635.625
97,1423.375
98,345.078125
99,1320.34375
100,630.625
101,307.796875
102,403.7395833333333
103,209.60416666666666
104,132.67013888888889
105,486.6458333333333
106,499.7916666666667
107,315.25
108,1294.21875
109,211.49479166666666
110,210.90178571428572
111,213.34375
112,449.5833333333333
