interval,hitsL3
0,15167.0
1,323938.0
2,5853.0
3,90277.0
4,287601.0
5,174514.0
6,150221.0
7,157844.0
8,149106.0
9,141781.0
10,150996.0
11,202654.0
12,180157.0
13,181216.0
14,187256.0
15,181954.0
16,192795.0
17,208987.0
18,170202.0
19,223701.0
20,173472.0
21,159101.0
22,213100.0
23,227038.0
24,279264.0
25,225568.0
26,229863.0
27,319613.0
28,226239.0
29,338648.0
30,325529.0
31,648645.0
32,80474.0
33,352508.0
34,144871.0
35,168504.0
36,116249.0
37,186484.0
38,180411.0
39,141588.0
40,193001.0
41,150289.0
42,174792.0
43,139464.0
44,190383.0
45,167396.0
46,184886.0
47,163319.0
48,174584.0
49,179448.0
50,170002.0
51,167247.0
52,220279.0
53,245227.0
54,253431.0
55,215887.0
56,225203.0
57,335200.0
58,229847.0
59,332956.0
60,329835.0
61,389154.0
62,1598180.0
63,81694.0
64,116410.0
65,108190.0
66,137072.0
67,90848.0
68,135098.0
69,99948.0
70,168444.0
71,168182.0
72,98016.0
73,94570.0
74,117398.0
75,114985.0
76,110491.0
77,115345.0
78,149350.0
79,128801.0
80,127163.0
81,92580.0
82,147219.0
83,144348.0
84,57508.0
85,121332.0
86,96849.0
87,104807.0
88,140753.0
89,126665.0
90,94857.0
91,124352.0
92,115680.0
93,118650.0
94,121808.0
95,176237.0
96,119281.0
97,209253.0
98,104436.0
99,121521.0
100,119171.0
101,108526.0
102,112250.0
103,126649.0
104,162971.0
105,194980.0
106,118406.0
107,122622.0
108,104566.0
109,112850.0
110,104104.0
111,88916.0
112,90163.0
113,115313.0
114,101463.0
115,91387.0
116,103456.0
117,94929.0
118,131003.0
119,220325.0
120,113830.0
121,99627.0
122,173064.0
123,118614.0
124,114819.0
125,131317.0
126,114224.0
127,102187.0
128,113100.0
129,160362.0
130,122849.0
131,93418.0
132,121393.0
133,84240.0
134,116320.0
135,158483.0
136,84571.0
137,160718.0
138,175162.0
139,160518.0
140,136665.0
141,112980.0
142,128712.0
143,113203.0
144,68128.0
145,149672.0
146,158384.0
147,88163.0
148,435868.0
149,57708.0
150,52792.0
151,64875.0
152,78204.0
153,83680.0
154,37871.0
155,70627.0
156,105799.0
157,99820.0
158,46439.0
159,53336.0
