interval,hitsL3
0,11786.0
1,8986.0
2,40971.0
3,131333.0
4,111928.0
5,340798.0
6,722610.0
7,732048.0
8,1101080.0
9,1370260.0
10,1818710.0
11,133294.0
12,214123.0
13,7245.0
14,10404.0
15,111258.0
16,341430.0
17,783391.0
18,789705.0
19,1156660.0
20,1599550.0
21,1799830.0
22,527432.0
23,219011.0
24,682059.0
25,780375.0
26,1010750.0
27,1790280.0
28,1598120.0
29,802145.0
30,187726.0
31,547617.0
32,723720.0
33,757600.0
34,1801670.0
35,1912700.0
36,1219500.0
37,135601.0
38,437145.0
39,802766.0
40,712672.0
41,1441020.0
42,2043710.0
43,1908480.0
44,212245.0
45,248404.0
46,780973.0
47,761401.0
48,1046790.0
49,2001360.0
50,1776490.0
51,801646.0
52,211109.0
53,711421.0
54,791173.0
55,825666.0
56,1576400.0
57,1992130.0
58,1059840.0
59,163500.0
60,522450.0
61,781393.0
62,781396.0
63,1533420.0
64,1569230.0
65,1516080.0
66,109910.0
67,358421.0
68,718582.0
69,813947.0
70,1530240.0
71,1648320.0
72,1546210.0
73,250049.0
74,229052.0
75,683966.0
76,722300.0
77,1124650.0
78,1972930.0
79,1584970.0
80,681871.0
81,188104.0
82,597188.0
83,743304.0
84,773804.0
85,1967680.0
86,1917520.0
87,1204140.0
88,133249.0
89,493017.0
90,767225.0
91,684617.0
92,1685010.0
93,1908230.0
94,1784720.0
95,142812.0
96,259253.0
97,792985.0
98,762966.0
99,1088040.0
100,1886000.0
101,1811770.0
102,752816.0
103,212337.0
104,680574.0
105,788638.0
106,812395.0
107,1615260.0
108,1736310.0
109,1381440.0
110,143781.0
111,538542.0
112,707786.0
113,784193.0
114,1565650.0
115,1758060.0
116,1197740.0
