interval,IPC
0,2.9455
1,2.2067
2,2.68276
3,3.2542
4,2.6849
5,2.9242
6,2.52245
7,2.19063
8,2.75075
9,3.14067
10,2.3439099999999997
11,2.46119
12,2.50663
13,2.17647
14,2.5565700000000002
15,2.58947
16,2.4102799999999998
17,1.92575
18,2.7359299999999998
19,2.45493
20,2.13088
21,1.9038
22,2.48706
23,2.88414
24,2.29777
25,1.8337599999999998
26,2.44665
27,2.3745
28,2.25445
29,2.0504
30,2.47649
31,2.76
32,2.3366700000000002
33,2.02332
34,2.3938900000000003
35,2.29616
36,2.30151
37,2.2142
38,2.42587
39,2.56168
40,2.41151
41,2.09065
42,2.49538
43,2.60364
44,2.44246
45,2.12605
46,2.74132
47,2.62661
48,2.29608
49,1.8598299999999999
50,2.51925
51,2.49347
52,2.33681
53,1.9227400000000001
54,2.7294099999999997
55,2.62375
56,2.2884
57,1.87085
58,2.8317099999999997
59,2.6398599999999997
60,2.22649
61,1.75205
62,2.75525
63,2.4175299999999997
64,2.28226
65,1.82834
66,2.98443
67,2.70202
68,2.26353
69,1.9943
70,2.6505799999999997
71,2.62755
72,2.2745
73,2.26728
74,2.92996
75,2.557
76,2.24779
77,2.27589
78,2.5707299999999997
79,2.5085
80,2.2497
81,2.60859
82,2.69333
83,2.3184299999999998
84,2.04292
85,2.55238
86,2.56777
87,2.3359
88,2.1359
89,2.74685
90,2.56411
91,2.28306
92,1.77788
93,2.6621099999999998
94,2.5642
95,2.37486
96,2.0021299999999997
97,2.64673
98,2.4055
99,2.1341799999999997
100,1.90294
101,2.46446
102,2.43898
103,2.5036099999999997
104,1.9566400000000002
105,2.5495799999999997
106,2.26573
107,2.25463
108,2.09534
109,2.3630400000000003
110,2.7406900000000003
111,2.36479
112,1.9763400000000002
113,2.50345
114,2.23975
