interval,hitsL3
0,867102.0
1,939290.0
2,116776.0
3,887481.0
4,848699.0
5,277404.0
6,80801.0
7,417267.0
8,736784.0
9,809845.0
10,689249.0
11,52318.0
12,60130.0
13,195004.0
14,120706.0
15,177665.0
16,615741.0
17,49884.0
18,25857.0
19,56241.0
20,369059.0
21,201274.0
22,926977.0
23,467124.0
24,851233.0
25,748899.0
26,222841.0
27,55533.0
28,346664.0
29,499978.0
30,633229.0
31,669876.0
32,554794.0
33,90423.0
34,412894.0
35,514338.0
36,160357.0
37,88947.0
38,94655.0
39,272921.0
40,41016.0
41,93288.0
42,594370.0
43,116788.0
44,407512.0
45,194533.0
46,417426.0
47,65056.0
48,495107.0
49,649528.0
50,112731.0
51,125077.0
52,316337.0
53,116089.0
54,171097.0
55,172161.0
56,232883.0
57,280420.0
58,266739.0
59,440010.0
60,197471.0
61,212114.0
62,259762.0
63,431148.0
64,444372.0
65,355922.0
66,1038500.0
67,690143.0
68,492181.0
69,383262.0
70,623106.0
71,649645.0
72,788517.0
73,496889.0
74,778165.0
75,437468.0
76,399733.0
77,605551.0
78,976030.0
79,603698.0
80,1015450.0
81,616769.0
82,415523.0
83,249103.0
84,26950.0
85,43265.0
86,31177.0
87,69763.0
88,209506.0
89,259104.0
90,63214.0
91,744180.0
92,908023.0
93,206317.0
94,774440.0
95,707733.0
96,709653.0
97,403254.0
98,792201.0
99,544199.0
100,883167.0
101,466147.0
102,968525.0
103,416911.0
104,451874.0
105,265876.0
106,348308.0
107,783921.0
108,620126.0
109,601789.0
110,1012980.0
111,526252.0
112,219453.0
113,342391.0
114,573883.0
115,839771.0
116,961356.0
117,1077980.0
118,1354990.0
119,979011.0
