interval,IPC
0,2.41981
1,2.47989
2,2.45803
3,2.44745
4,2.19962
5,2.57311
6,2.24916
7,2.50374
8,2.73464
9,2.28905
10,2.01363
11,2.30183
12,2.5152400000000004
13,2.5825299999999998
14,2.61551
15,2.7974
16,2.68016
17,1.90983
18,1.9715099999999999
19,2.01715
20,2.2330099999999997
21,2.05231
22,2.4668799999999997
23,2.47135
24,2.5409200000000003
25,2.50559
26,2.5149
27,2.66518
28,2.7296099999999996
29,2.66548
30,2.36537
31,1.92792
32,2.2446200000000003
33,1.8042900000000002
34,2.19484
35,2.3425599999999998
36,2.0596099999999997
37,2.22052
38,2.43393
39,2.3766
40,2.45103
41,2.5523700000000002
42,2.50547
43,2.51057
44,2.57756
45,2.6314599999999997
46,2.7734799999999997
47,2.71845
48,2.7646
49,2.64195
50,2.79509
51,2.27483
52,2.63058
53,2.2955
54,2.4636299999999998
55,2.7322599999999997
56,2.8265599999999997
57,2.56486
58,2.02604
59,2.18057
60,2.14217
61,2.3052099999999998
62,2.51262
63,2.48522
64,2.64264
65,2.64302
66,2.71644
67,2.76125
68,2.7758700000000003
69,2.74763
70,2.45852
71,1.66186
72,2.1663900000000003
73,2.38402
74,2.28518
75,1.4490299999999998
76,2.23489
77,2.25515
78,2.25205
79,2.19013
80,2.07701
81,2.17335
82,2.53513
83,2.45358
84,2.42483
85,2.44345
86,2.6168299999999998
87,2.71188
88,2.64371
89,2.63485
90,2.66808
91,2.61936
92,2.6259900000000003
93,2.72072
94,2.7894200000000002
95,2.77713
96,2.62985
97,2.65939
98,2.58786
99,2.25385
100,2.21035
101,1.50476
102,2.02524
103,2.35986
104,2.45494
105,2.28748
106,2.39679
107,2.1957400000000002
108,1.31841
