interval,hitsL3
0,5983.0
1,4932.0
2,4687.0
3,4262.0
4,4796.0
5,4348.0
6,4513.0
7,4227.0
8,4508.0
9,4152.0
10,3973.0
11,3637.0
12,4134.0
13,4394.0
14,4212.0
15,31020.0
16,2770.0
17,43038.0
18,1263560.0
19,812415.0
20,952420.0
21,1087050.0
22,929095.0
23,812605.0
24,857082.0
25,947007.0
26,875162.0
27,943714.0
28,888144.0
29,712042.0
30,669150.0
31,821832.0
32,684811.0
33,1112920.0
34,731314.0
35,625500.0
36,442601.0
37,727084.0
38,426048.0
39,791542.0
40,696696.0
41,1013160.0
42,899205.0
43,809114.0
44,567633.0
45,758695.0
46,660895.0
47,806971.0
48,622227.0
49,728438.0
50,812620.0
51,882897.0
52,428217.0
53,514061.0
54,456407.0
55,767787.0
56,443733.0
57,634904.0
58,614276.0
59,758566.0
60,505104.0
61,575016.0
62,550024.0
63,762504.0
64,334296.0
65,65978.0
66,68205.0
67,79609.0
68,59421.0
69,61000.0
70,5768220.0
71,18875000.0
72,20771600.0
73,21392700.0
74,21686000.0
75,22745500.0
76,23013100.0
77,23521600.0
78,23411100.0
79,23613200.0
80,24047600.0
81,23811400.0
82,24291500.0
83,25297900.0
84,25005800.0
85,21733800.0
86,85778.0
87,85675.0
88,139468.0
89,1965400.0
90,1363370.0
91,1501200.0
92,1162580.0
93,1047470.0
94,846713.0
95,574357.0
96,438935.0
97,563722.0
98,571639.0
99,702404.0
100,606037.0
101,459011.0
102,302980.0
103,296838.0
104,359498.0
105,199287.0
106,153232.0
107,369478.0
108,275276.0
109,115220.0
110,171335.0
111,172108.0
112,170503.0
113,188648.0
114,147972.0
115,203870.0
116,265403.0
117,106558.0
118,97997.0
119,84463.0
120,156842.0
121,110564.0
122,189344.0
123,159432.0
124,416949.0
125,136852.0
126,191976.0
127,137830.0
128,332943.0
129,241076.0
130,152667.0
131,347488.0
132,286960.0
133,379696.0
134,508362.0
135,303333.0
136,234459.0
137,274780.0
138,225960.0
139,61482.0
140,24671.0
141,33320.0
142,25289.0
143,25249.0
144,30860.0
145,28150.0
146,595736.0
147,591871.0
148,366037.0
149,439000.0
150,210014.0
151,281001.0
152,249605.0
153,183865.0
154,327255.0
155,191998.0
156,129663.0
157,176007.0
158,341563.0
159,582132.0
160,356823.0
161,492310.0
162,730422.0
163,534464.0
164,723621.0
165,502248.0
166,936730.0
167,1336760.0
168,1269300.0
169,1172390.0
170,893428.0
171,972180.0
172,705110.0
173,938436.0
174,929303.0
