interval,hitsL3
0,1916680.0
1,1216050.0
2,555255.0
3,502729.0
4,709065.0
5,753487.0
6,685232.0
7,582386.0
8,474438.0
9,817227.0
10,797631.0
11,616901.0
12,672073.0
13,369750.0
14,448672.0
15,454034.0
16,687892.0
17,421797.0
18,593740.0
19,487128.0
20,414037.0
21,542552.0
22,434267.0
23,527368.0
24,399428.0
25,347805.0
26,419046.0
27,323422.0
28,527533.0
29,570160.0
30,386125.0
31,590885.0
32,489897.0
33,310178.0
34,524337.0
35,416040.0
36,299100.0
37,300763.0
38,345528.0
39,279684.0
40,567598.0
41,422030.0
42,353439.0
43,627079.0
44,288578.0
45,350496.0
46,244697.0
47,454499.0
48,334657.0
49,306518.0
50,131668.0
51,11825.0
52,10581.0
53,13760.0
54,21836.0
55,7953.0
56,8852.0
57,20870.0
58,17553.0
59,13290.0
60,7386.0
61,12561.0
62,22190.0
63,16812.0
64,6968.0
65,8121.0
66,10228.0
67,13709.0
68,16634.0
69,6419.0
70,8809.0
71,28155.0
72,1200480.0
73,511925.0
74,366159.0
75,623104.0
76,736878.0
77,610954.0
78,636110.0
79,432975.0
80,760175.0
81,773114.0
82,519430.0
83,647730.0
84,348226.0
85,389287.0
86,336141.0
87,575737.0
88,455281.0
89,529015.0
90,482695.0
91,390118.0
92,401093.0
93,537094.0
94,422779.0
95,463328.0
96,425667.0
97,324416.0
98,431269.0
99,208573.0
100,679797.0
101,389769.0
102,437543.0
103,523538.0
104,383246.0
105,304039.0
106,549741.0
107,367070.0
108,303414.0
109,304015.0
110,327390.0
111,302403.0
112,522389.0
113,392373.0
114,397539.0
115,567806.0
116,324801.0
