interval,hitsperOccupL3(KB)
0,886.1532738095239
1,13.201286764705882
2,10.85054347826087
3,22.790865384615383
4,15.53125
5,14.273097826086957
6,10.948863636363637
7,14.171052631578947
8,37.79017857142857
9,15.052083333333334
10,23.95625
11,19.4609375
12,13.885416666666666
13,16.61328125
14,29.17013888888889
15,7.122596153846154
16,10.341346153846153
17,17.741666666666667
18,13.424632352941176
19,9.269675925925926
20,14.8828125
21,10.671875
22,12.025297619047619
23,23.583333333333332
24,10.096467391304348
25,7.67578125
26,23.215625
27,13.524305555555555
28,8.912037037037036
29,13.533088235294118
30,13.755514705882353
31,11.019345238095237
32,15.130859375
33,8.114233193277311
34,15237.614329268292
35,23789.453125
36,16865.5859375
37,23904.918032786885
38,22259.375
39,16869.26510989011
40,22791.796875
41,25769.73214285714
42,18682.712765957447
43,21002.833333333332
44,21269.51844262295
45,24599.897540983606
46,20082.76785714286
47,27840.405701754386
48,19128.25704225352
49,20740.625
50,20427.45535714286
51,31196.651785714286
52,23222.521551724138
53,22228.125
54,18523.72532894737
55,18931.13839285714
56,19747.227112676057
57,25537.93859649123
58,18812.604166666668
59,17345.37146226415
60,16398.4375
61,11790.701844262296
62,10119.694244604316
63,13598.818277310924
64,10939.413759689922
65,10838.214285714286
66,9545.138888888889
67,11970.559210526315
68,11820.655487804877
69,11050.540413533834
70,9614.366007194245
71,9410.854289940828
72,8247.03851744186
73,10289.24319727891
74,8089.07967032967
75,9471.762242268042
76,9533.030063291139
77,8086.491935483871
78,7798.539201183432
79,9703.104707792209
80,8988.034018987342
81,11552.128623188406
82,11850.954198473282
83,10525.500690607734
84,11011.263489208633
85,10767.625899280576
86,10003.665413533834
87,7934.767759562841
88,6505.039828431372
89,7616.957236842105
90,8572.556818181818
91,11907.581018518518
92,9515.126533742332
93,6535.181451612903
94,9176.603618421053
95,6816.317873303167
96,7930.571428571428
97,6268.545305676856
98,7377.250647668394
99,9574.37160326087
100,13435.060975609756
101,7613.046448087432
102,9910.314685314685
103,9074.794161676647
104,7158.888561320755
105,9028.474378881987
106,7758.4587696335075
107,8116.148255813953
108,12217.249177631578
109,7644.780405405405
110,10074.503311258279
111,6740.436557788945
112,8075.265625
113,7479.284274193548
114,7926.545877659574
115,6520.006918819188
116,9153.215579710144
117,6622.936893203883
118,7141.828051643192
119,7699.243421052632
120,7454.110221674877
121,6740.6891025641025
122,6635.100446428572
123,5315.687919463087
124,8533.994932432432
125,7746.959459459459
126,6465.96615720524
127,5331.091772151899
128,8179.287790697675
129,6573.61856223176
130,5603.698979591837
131,7020.110294117647
132,7960.622258771929
133,8067.847222222223
134,7310.401119402985
135,6883.26416015625
136,7435.923793859649
137,6611.045673076923
138,5972.934877622378
139,5490.871415770609
140,4964.532871972318
141,5311.535904255319
142,5110.965909090909
143,4505.047286184211
144,4382.007285276074
