interval,hitsL3
0,46817.0
1,221224.0
2,424668.0
3,194382.0
4,1317500.0
5,727686.0
6,2482630.0
7,2234220.0
8,3113450.0
9,975336.0
10,1792260.0
11,850610.0
12,2056740.0
13,662632.0
14,1272290.0
15,550621.0
16,1490790.0
17,815143.0
18,870926.0
19,1519500.0
20,1905100.0
21,952783.0
22,2925440.0
23,673515.0
24,2508350.0
25,435672.0
26,2267070.0
27,691549.0
28,2371770.0
29,596323.0
30,3080070.0
31,781290.0
32,1849450.0
33,1099220.0
34,2769730.0
35,1223390.0
36,3395590.0
37,1428380.0
38,2964640.0
39,1766210.0
40,895469.0
41,2493400.0
42,1028240.0
43,1727540.0
44,708891.0
45,2482030.0
46,554448.0
47,2027720.0
48,855577.0
49,2027970.0
50,989796.0
51,1747550.0
52,952837.0
53,1863440.0
54,917235.0
55,1687060.0
56,1551980.0
57,1200120.0
58,1785460.0
59,2239670.0
60,2122690.0
61,914003.0
62,2080830.0
63,1137040.0
64,3313630.0
65,1792890.0
66,3142620.0
67,1474900.0
68,2416650.0
69,2722220.0
70,2442760.0
71,3199950.0
72,1610740.0
73,2813060.0
74,1808130.0
75,2995760.0
76,1389240.0
77,1934670.0
78,1631750.0
79,2684290.0
80,2844710.0
81,723761.0
82,2904890.0
83,1424940.0
84,2233270.0
85,534347.0
86,2102320.0
87,551464.0
88,2096900.0
89,527700.0
90,2859590.0
91,1705110.0
92,3103270.0
93,2303960.0
94,1029610.0
95,1929090.0
96,1190930.0
97,1176780.0
98,979639.0
99,1268320.0
100,948732.0
101,1519660.0
102,776485.0
103,2264570.0
104,924772.0
105,1203620.0
106,900786.0
107,1534780.0
108,809932.0
109,1679540.0
110,645665.0
111,1759500.0
112,759315.0
113,1822540.0
114,782744.0
115,2183950.0
116,657593.0
117,2329480.0
118,509864.0
119,2937870.0
120,614400.0
121,2584160.0
122,675888.0
123,3120200.0
124,2163690.0
125,2207590.0
126,1750770.0
127,971106.0
128,1790310.0
129,818540.0
130,1387830.0
131,960970.0
132,1966780.0
133,698219.0
134,2259170.0
135,605285.0
136,2340240.0
