interval,IPC
0,1.27919
1,1.2874
2,1.68163
3,1.70862
4,1.6526599999999998
5,1.6631
6,1.8167
7,1.90969
8,1.85145
9,1.8690900000000001
10,1.8811200000000001
11,1.86332
12,1.86418
13,1.92917
14,1.79836
15,1.77072
16,1.75121
17,1.7966900000000001
18,2.00676
19,1.83648
20,1.8446200000000001
21,1.8589200000000001
22,1.82656
23,1.9092900000000002
24,1.9335
25,1.9426299999999999
26,1.6937
27,1.2232
28,1.2021600000000001
29,1.96586
30,1.8636700000000002
31,1.87353
32,1.8128
33,1.90799
34,1.98089
35,1.9780000000000002
36,1.85195
37,1.90688
38,1.9663099999999998
39,1.9616200000000001
40,1.8177900000000002
41,1.8125
42,1.8748200000000002
43,1.91457
44,1.88445
45,1.80765
46,1.79013
47,2.05249
48,1.8928
49,1.85732
50,1.8145
51,1.83223
52,1.97239
53,1.84848
54,1.84422
55,1.7711400000000002
56,1.76977
57,1.84808
58,1.94887
59,1.9032200000000001
60,1.9045400000000001
61,1.9316099999999998
62,1.8107900000000001
63,1.8446200000000001
64,1.72436
65,1.8206799999999999
66,1.75868
67,1.83892
68,2.0380599999999998
69,2.10094
70,1.89198
71,1.89065
72,1.9455900000000002
73,1.9266900000000002
74,1.8703299999999998
75,1.8485599999999998
76,1.87526
77,1.9994900000000002
78,2.03062
79,1.80302
80,1.23661
81,1.21567
82,1.7168
83,1.89675
84,1.82863
85,1.92346
86,1.98069
87,1.8651200000000001
88,1.76205
89,1.81254
90,1.8165099999999998
91,1.8736700000000002
92,1.8164900000000002
93,1.9268
94,1.9679200000000001
95,1.95019
96,1.81028
97,1.8687900000000002
98,1.8235299999999999
99,1.81615
100,1.7964200000000001
101,1.7956599999999998
102,1.89573
103,2.20211
104,1.94071
105,1.92599
106,1.8816700000000002
107,1.8883599999999998
108,1.8683
109,1.85749
110,1.88917
111,1.9509299999999998
112,2.00143
113,1.86973
114,1.96997
115,1.83723
116,1.84601
117,1.8128400000000002
118,1.84273
119,1.8912900000000001
120,1.93665
121,1.88746
122,1.7765799999999998
123,1.7769599999999999
124,2.00642
