interval,IPC
0,3.0946599999999997
1,3.07206
2,2.86333
3,3.01627
4,2.88082
5,2.748
6,2.64295
7,2.9948
8,2.70306
9,2.74715
10,2.96314
11,2.6177200000000003
12,2.7368099999999997
13,2.90255
14,2.66776
15,2.80595
16,2.82136
17,2.6309299999999998
18,2.9221
19,2.7155299999999998
20,2.72186
21,2.95925
22,2.6916
23,2.75932
24,2.84536
25,2.6903200000000003
26,2.89148
27,2.73772
28,2.57386
29,2.98387
30,2.72675
31,2.5550599999999997
32,2.98762
33,2.7204
34,2.80274
35,2.83514
36,2.68854
37,2.84827
38,2.78467
39,2.6210299999999997
40,2.92677
41,2.7985700000000002
42,2.66058
43,2.9026099999999997
44,2.65448
45,2.84626
46,2.80992
47,2.64863
48,2.8451
49,2.8239799999999997
50,2.64163
51,2.95341
52,2.76661
53,2.5908
54,2.9395700000000002
55,2.7092400000000003
56,2.84402
57,2.81755
58,2.6537599999999997
59,2.94109
60,2.65656
61,2.55302
62,2.9321599999999997
63,2.79217
64,2.43467
65,2.91492
66,2.70783
67,2.77232
68,2.8386299999999998
69,2.71705
70,2.72522
71,2.84153
72,2.60297
73,2.89839
74,2.71624
75,2.62538
76,2.96909
77,2.70693
78,2.6320099999999997
79,2.8901
80,2.7109400000000003
81,2.7972099999999998
82,2.72713
83,2.54771
84,2.87063
85,2.80186
86,2.49015
87,2.9367799999999997
88,2.77846
89,2.59441
90,2.90878
91,2.66432
92,2.70741
93,2.8607400000000003
94,2.73318
95,2.67311
96,2.8267900000000004
97,2.58097
98,2.99728
99,2.67728
100,2.46677
101,3.00598
102,2.7403
103,2.66853
104,2.82634
105,2.73408
106,2.6391299999999998
107,2.80695
108,2.6606799999999997
109,2.89795
110,2.75463
