interval,hitsperOccupL3(KB)
0,1371.9596774193549
1,2621.6736111111113
2,663.4141791044776
3,2381.1530172413795
4,1796.2228260869565
5,651.578125
6,682.1901041666666
7,495.1064453125
8,489.575
9,508.08229166666666
10,288.3775337837838
11,1000.9483695652174
12,326.9510135135135
13,281.98491379310343
14,684.6106770833334
15,417.72106481481484
16,776.5625
17,500.6129261363636
18,744.728515625
19,808.61875
20,606.688262195122
21,2375.1802884615386
22,554.8828125
23,522.3696646341464
24,619.8141447368421
25,653.4234913793103
26,1030.9348958333333
27,551.762668918919
28,460.58212209302326
29,1044.6929347826087
30,601.9109848484849
31,750.9791666666666
32,532.65625
33,330.60170454545454
34,801.5691964285714
35,1537.9895833333333
36,334.96272590361446
37,325.12367957746477
38,292.3149305555556
39,480.95625
40,85.72685185185185
41,86.46504934210526
42,180.41426282051282
43,117.65679824561404
44,334.7251838235294
45,211.3487215909091
46,181.10833333333332
47,238.0483870967742
48,89.62863372093024
49,121.41875
50,88.49524456521739
51,107.35193452380952
52,106.66125
53,108.3954081632653
54,78.92393867924528
55,82.34722222222223
56,123.83901515151516
57,92.046875
58,92.08333333333333
59,73.023125
60,72.6595394736842
61,99.9108231707317
62,69.57291666666667
63,120.15833333333333
64,108.55952380952381
65,79.42045454545455
66,87.72337962962963
67,91.325
68,108.18928571428572
69,111.41517857142857
70,124.18958333333333
71,132.8704044117647
72,66.81380208333333
73,72.40710616438356
74,112.66090425531915
75,89.63443396226415
76,120.74131944444444
77,133.4719827586207
78,59.31676136363637
79,125.47977941176471
80,52.441692073170735
81,55.99951923076923
82,113.68617021276596
83,89.41015625
84,129.88403925619835
85,203.236328125
86,317.2579787234043
87,386.69215425531917
88,309.3125
89,182.88839285714286
90,246.96746575342465
91,410.4399671052632
92,744.3978365384615
93,195.68327702702703
94,441.5284722222222
95,195.97035256410257
96,366.73214285714283
97,173.53125
98,278.4130608974359
99,700.5651785714285
100,212.4877106741573
101,223.24913194444446
102,192.49783415841586
103,119.47612847222223
104,53.08617424242424
105,34.086664244186046
106,167.59401483050848
107,254.61039402173913
108,211.26631637168143
109,89.78462009803921
110,216.365625
111,361.6875
112,411.1256510416667
113,76.31529017857143
114,253.54545454545453
115,202.1341463414634
116,155.41350446428572
117,66.6149193548387
118,129.1951530612245
119,59.252884615384616
120,189.19594594594594
121,311.07421875
122,489.8713942307692
123,3490.340909090909
124,4704.930555555556
125,2459.4110576923076
126,1890.162037037037
127,931.0845588235294
128,618.3066239316239
129,2064.5036764705883
130,589.8170572916666
131,785.060975609756
132,3127.5868055555557
133,573.2735655737705
134,1547.923828125
135,1086.752840909091
136,620.2982336956521
137,827.7625
138,522.3822463768116
139,1272.8869047619048
140,772.5855654761905
141,1561.923828125
142,752.4375
143,604.176747311828
144,966.4019097222222
145,801.05
146,940.5674342105264
147,884.3090277777778
148,633.3577806122449
149,2376.9602272727275
150,1174.5291095890411
151,2009.8020833333333
152,989.9691901408451
153,834.90625
154,1175.1126453488373
155,811.2010869565217
156,2192.7991071428573
157,1041.9898897058824
158,1021.1324786324786
159,1412.240466101695
160,951.8085106382979
161,2034.40188172043
162,994.0020161290323
163,2199.90625
164,1199.523689516129
165,1651.3228383458647
166,1439.3949468085107
167,1437.2307180851064
168,1123.56843575419
169,1367.8799019607843
170,2192.348214285714
