interval,IPC
0,1.8113099999999998
1,1.44991
2,1.70524
3,2.26589
4,1.83388
5,1.51121
6,1.3219299999999998
7,1.18364
8,1.2995700000000001
9,1.15869
10,1.55752
11,1.3118
12,0.9113209999999999
13,1.39488
14,1.25352
15,1.7286400000000002
16,1.4526299999999999
17,1.3481100000000001
18,1.43029
19,1.57575
20,2.03935
21,1.07682
22,1.1238299999999999
23,0.892805
24,1.09105
25,1.15664
26,1.33075
27,1.3960299999999999
28,1.05151
29,1.0556299999999998
30,1.3348
31,1.4082700000000001
32,1.41477
33,1.35334
34,1.23672
35,0.919083
36,0.9478
37,1.24568
38,1.24403
39,1.3776700000000002
40,1.46622
41,1.3168799999999998
42,1.6590799999999999
43,1.09036
44,1.32746
45,1.29201
46,0.9458790000000001
47,1.34135
48,1.15754
49,1.22631
50,1.32034
51,1.74338
52,1.39135
53,1.20859
54,1.16401
55,1.37932
56,1.15415
57,1.42533
58,1.41415
59,1.08949
60,1.63907
61,1.15435
62,1.55654
63,1.7925900000000001
64,1.3733600000000001
65,1.31653
66,1.0466
67,1.08805
68,1.2751
69,1.11704
70,1.214
71,1.36086
72,1.06784
73,1.42516
74,1.42699
75,1.31352
76,1.21695
77,1.28274
78,1.17861
79,1.12612
80,1.20691
81,1.2181899999999999
82,1.14713
83,1.3981299999999999
84,1.30298
85,1.5277100000000001
86,1.40367
87,1.1094700000000002
88,1.19126
89,1.4425299999999999
90,0.98798
91,1.4175799999999998
92,1.15992
93,1.13794
94,1.3259100000000001
95,1.56051
96,1.46961
97,1.3719700000000001
98,1.23779
99,1.2316799999999999
100,1.05834
101,1.13667
102,1.30912
103,1.06628
104,1.34925
105,1.3559999999999999
106,1.38491
107,1.61022
108,1.48406
109,1.06318
110,1.23167
111,1.0691
112,1.22275
113,1.15689
114,1.10982
115,1.56893
116,1.33257
117,1.4701799999999998
118,1.43198
119,1.20927
120,1.2399799999999999
121,1.38995
122,1.13183
123,1.297
124,1.08991
125,1.23314
126,1.2125
127,1.37135
128,1.75732
129,1.4219600000000001
130,1.27128
131,1.08905
132,1.19994
133,1.52918
134,1.16343
135,1.30962
136,1.14121
137,1.12499
138,1.57075
139,1.62101
140,1.46854
141,1.13198
142,1.19641
143,1.3390799999999998
144,1.28424
145,1.37376
146,1.1692799999999999
147,1.09471
148,1.56975
149,1.47851
150,1.72435
151,1.2395200000000002
152,1.14575
153,1.32387
154,1.2658
155,1.35093
156,1.16334
157,1.46117
158,1.15834
159,1.29662
160,1.7217
161,1.62477
162,1.14688
163,1.58168
164,1.001
165,1.18959
166,1.27085
167,1.71243
168,1.31386
169,1.20119
170,1.49424
171,1.8708900000000002
172,1.89353
173,1.37456
174,1.6245
175,1.3688799999999999
176,1.44121
177,1.53817
178,1.57018
179,1.41614
180,1.3041200000000002
181,1.64058
182,0.9971469999999999
183,1.52334
184,1.31554
185,1.30063
186,1.73742
187,1.51053
188,1.77775
189,1.8320400000000001
190,1.51434
191,1.37531
192,1.4747
193,1.3662
194,1.02754
195,1.38751
196,1.1347399999999999
197,1.1702700000000001
198,1.27554
199,1.3932799999999999
200,1.01786
201,1.4979
202,1.46076
203,1.5772700000000002
204,1.24655
205,1.33461
206,1.17991
207,1.2193200000000002
208,1.34
209,1.26122
210,1.18608
211,1.20695
212,1.4215
213,1.35762
214,1.60171
215,1.26119
216,1.27441
217,1.20856
218,1.36067
219,1.42524
220,1.07061
221,1.19078
222,1.2793299999999999
223,1.2818200000000002
224,1.64609
225,1.4384700000000001
226,1.22269
227,1.29966
228,1.11504
229,1.33794
230,1.256
231,1.25404
232,1.33271
233,1.14126
234,1.5305600000000001
235,1.55616
236,1.48289
237,1.25769
238,1.16699
239,1.2679
240,1.30243
241,1.12686
