interval,hitsL3
0,89784.0
1,664694.0
2,629283.0
3,399644.0
4,626822.0
5,785754.0
6,588915.0
7,288642.0
8,127177.0
9,537999.0
10,636632.0
11,746301.0
12,216059.0
13,239130.0
14,211559.0
15,880552.0
16,859645.0
17,293277.0
18,223863.0
19,608610.0
20,862838.0
21,663627.0
22,285648.0
23,48031.0
24,395613.0
25,585084.0
26,685468.0
27,327095.0
28,207268.0
29,46894.0
30,819946.0
31,979130.0
32,363585.0
33,247614.0
34,7356.0
35,645793.0
36,908357.0
37,363645.0
38,165482.0
39,287504.0
40,168684.0
41,763213.0
42,1204070.0
43,479777.0
44,350246.0
45,206200.0
46,245536.0
47,47014.0
48,563265.0
49,564847.0
50,763135.0
51,88989.0
52,658887.0
53,103429.0
54,425256.0
55,507992.0
56,127335.0
57,651825.0
58,44806.0
59,513804.0
60,431906.0
61,341579.0
62,709319.0
63,869839.0
64,380332.0
65,252496.0
66,249364.0
67,441101.0
68,722616.0
69,609560.0
70,130066.0
71,446271.0
72,406784.0
73,487137.0
74,747339.0
75,536400.0
76,211865.0
77,248354.0
78,206096.0
79,628802.0
80,644098.0
81,544656.0
82,334807.0
83,417547.0
84,461660.0
85,705440.0
86,817419.0
87,601379.0
88,365340.0
89,371972.0
90,401007.0
91,582107.0
92,756808.0
93,557856.0
94,317349.0
95,458242.0
96,372648.0
97,745764.0
98,674576.0
99,550859.0
100,246063.0
101,285835.0
102,306251.0
103,289332.0
104,586942.0
105,600263.0
106,559836.0
107,257574.0
108,333698.0
109,114442.0
110,444668.0
111,623644.0
112,568828.0
113,130898.0
114,249115.0
115,176992.0
116,473589.0
117,572571.0
118,788240.0
119,349473.0
120,535083.0
121,496870.0
122,156314.0
123,885663.0
124,565149.0
125,787685.0
126,642136.0
127,128525.0
128,480730.0
129,765869.0
130,529692.0
131,594026.0
132,168578.0
133,234671.0
134,606055.0
135,701213.0
136,614816.0
137,488321.0
138,212052.0
139,545423.0
140,1058840.0
141,832877.0
142,364228.0
143,449260.0
144,367145.0
145,165656.0
146,605812.0
147,737424.0
148,532017.0
149,484502.0
150,557982.0
151,48894.0
152,641763.0
153,566410.0
154,409778.0
155,126364.0
156,329407.0
157,177945.0
158,552244.0
159,768178.0
160,764719.0
161,254438.0
162,277638.0
163,201775.0
164,362479.0
165,611200.0
166,578277.0
167,198533.0
168,208532.0
169,126612.0
170,212817.0
171,766895.0
172,736811.0
173,463401.0
174,530585.0
175,152657.0
176,462328.0
177,961613.0
178,139511.0
179,772596.0
180,317997.0
181,210559.0
182,647514.0
183,608863.0
184,628071.0
185,781162.0
186,415608.0
187,478948.0
188,271562.0
189,484348.0
190,892752.0
191,663501.0
192,247929.0
193,291656.0
194,339541.0
195,682086.0
196,573769.0
197,454161.0
198,210512.0
199,291755.0
200,247413.0
201,563037.0
202,777127.0
203,668278.0
204,213979.0
205,352475.0
206,233758.0
207,606363.0
208,728081.0
209,451740.0
210,319137.0
211,386364.0
212,315902.0
213,497312.0
214,941196.0
215,390376.0
216,336615.0
217,208322.0
218,415863.0
219,509995.0
220,692880.0
221,251479.0
222,252158.0
223,226063.0
224,409021.0
225,927815.0
226,518571.0
227,259098.0
228,242194.0
229,243400.0
230,566999.0
231,690397.0
232,491921.0
233,185896.0
234,324817.0
