interval,hitsL3
0,83891.0
1,376856.0
2,303581.0
3,249069.0
4,233720.0
5,361949.0
6,436096.0
7,1201320.0
8,439221.0
9,1179850.0
10,429900.0
11,1043160.0
12,435740.0
13,1221730.0
14,448088.0
15,794812.0
16,404708.0
17,296807.0
18,338822.0
19,354343.0
20,265257.0
21,345895.0
22,346216.0
23,353290.0
24,324408.0
25,1178070.0
26,447462.0
27,328754.0
28,347700.0
29,346614.0
30,346226.0
31,338768.0
32,345146.0
33,345449.0
34,357565.0
35,349516.0
36,346304.0
37,1094940.0
38,390140.0
39,1079140.0
40,380197.0
41,1112570.0
42,361677.0
43,1051440.0
44,412088.0
45,971495.0
46,347215.0
47,1067450.0
48,375969.0
49,1081860.0
50,374922.0
51,345288.0
52,295795.0
53,289773.0
54,342945.0
55,417545.0
56,379534.0
57,1079030.0
58,344650.0
59,1027370.0
60,382321.0
61,358132.0
62,374495.0
63,314727.0
64,353297.0
65,360647.0
66,324445.0
67,346492.0
68,381068.0
69,366630.0
70,366114.0
71,348740.0
72,366026.0
73,744019.0
74,386963.0
75,371564.0
76,358814.0
77,354548.0
78,359430.0
79,326955.0
80,351437.0
81,380686.0
82,584718.0
83,547315.0
84,640067.0
85,586684.0
86,587789.0
87,558159.0
88,555141.0
89,574277.0
90,351213.0
91,358666.0
92,327276.0
93,365264.0
94,575461.0
95,578829.0
96,532312.0
97,528270.0
98,519091.0
99,370381.0
100,346565.0
101,354934.0
102,349557.0
103,352106.0
104,341149.0
105,363587.0
106,372789.0
107,551170.0
108,362694.0
109,355588.0
110,358259.0
111,355134.0
112,370020.0
113,361856.0
114,313966.0
115,356985.0
116,355308.0
117,339805.0
118,361617.0
119,362913.0
120,378049.0
121,365610.0
122,335900.0
123,472499.0
124,480708.0
125,484601.0
126,361990.0
127,365373.0
128,319017.0
129,458218.0
130,465499.0
131,353777.0
132,369858.0
133,378567.0
134,343379.0
135,346956.0
136,348457.0
137,353548.0
138,336448.0
139,379667.0
140,331706.0
141,358532.0
142,355867.0
143,293712.0
144,372901.0
145,469396.0
146,356250.0
147,352786.0
148,362820.0
149,371259.0
150,310393.0
151,352359.0
152,352165.0
153,347681.0
154,361841.0
155,420187.0
156,357186.0
157,378616.0
158,373868.0
159,364158.0
160,339078.0
161,327070.0
162,353174.0
163,390471.0
164,344870.0
165,355125.0
166,358051.0
167,365675.0
168,393387.0
169,378858.0
170,370200.0
171,237317.0
172,282420.0
173,361633.0
174,329035.0
175,382343.0
176,675668.0
177,313198.0
178,651200.0
179,322189.0
180,353967.0
181,456430.0
182,490918.0
183,534964.0
184,522231.0
185,519007.0
186,490759.0
187,539313.0
