interval,IPC
0,2.9111
1,2.90525
2,2.43067
3,2.59535
4,1.9558
5,1.4134
6,1.42297
7,1.4814100000000001
8,1.55035
9,1.41147
10,1.4067100000000001
11,1.52057
12,1.2550700000000001
13,1.3788799999999999
14,1.8077599999999998
15,1.7877599999999998
16,1.8431400000000002
17,2.8942200000000002
18,2.29097
19,1.97167
20,1.55835
21,1.31382
22,1.41632
23,1.29788
24,1.40862
25,1.4135799999999998
26,1.3139
27,1.47373
28,1.22878
29,1.72974
30,1.49796
31,1.25775
32,1.54008
33,1.36506
34,1.38011
35,1.26817
36,1.18841
37,1.28559
38,1.20935
39,1.20882
40,1.9608900000000002
41,1.24417
42,1.30215
43,1.27036
44,1.39104
45,1.46874
46,1.28814
47,1.31655
48,1.1835799999999999
49,1.26291
50,1.33738
51,2.0085
52,1.4050799999999999
53,1.22678
54,1.26072
55,1.42787
56,1.31782
57,1.38962
58,1.3348200000000001
59,1.25024
60,1.33015
61,1.47593
62,1.57982
63,1.3293
64,1.3027799999999998
65,1.4424
66,1.1899
67,1.246
68,1.35405
69,1.25769
70,1.32082
71,1.327
72,1.67135
73,1.46702
74,1.07441
75,1.29556
76,1.39143
77,1.31024
78,1.4107399999999999
79,1.1140700000000001
80,1.21489
81,1.33122
82,1.26244
83,1.6667599999999998
84,1.61481
85,1.04692
86,1.34385
87,1.2779
88,1.36002
89,1.4376799999999998
90,1.22858
91,1.32511
92,1.14325
93,1.24753
94,1.6672099999999999
95,1.66376
96,1.262
97,1.23714
98,1.24942
99,1.38523
100,1.27407
101,1.2090299999999998
102,1.37906
103,1.19636
104,1.20977
105,1.5092299999999998
106,1.4681799999999998
107,1.2461799999999998
108,1.24179
109,1.33407
110,1.36378
111,1.28929
112,1.30575
113,1.2741
114,1.23304
115,1.4468299999999998
116,1.54239
117,1.7029400000000001
118,1.08889
119,1.25213
120,1.3779299999999999
121,1.36889
122,1.32776
123,1.3040399999999999
124,1.28808
125,1.32055
126,1.27122
127,1.67527
128,1.7389700000000001
129,1.18559
130,1.45305
131,1.26552
132,1.3529799999999998
133,1.4566700000000001
134,1.25415
135,1.32913
136,1.25552
137,1.11005
138,1.9323
139,1.33369
140,1.3156700000000001
141,1.32691
142,1.34352
143,1.4366700000000001
144,1.31339
145,1.32742
146,1.29481
147,1.25279
148,1.59466
149,1.7320099999999998
150,1.3244799999999999
151,1.20034
152,1.3075700000000001
153,1.43534
154,1.3350600000000001
155,1.38719
156,1.24106
157,1.30108
158,1.3372899999999999
159,1.66517
160,1.6188200000000001
161,1.24489
162,1.2673299999999998
163,1.46317
164,1.26052
165,1.33299
166,1.3441
167,1.53736
168,1.33887
169,1.09746
