interval,hitsperOccupL3(KB)
0,22301.875
1,6349.262152777777
2,3222.372159090909
3,818.125
4,1405.05859375
5,1063.7611607142858
6,7888.1640625
7,397.125
8,528.0384036144578
9,2170.7291666666665
10,1054.3885869565217
11,552.703125
12,1828.1490384615386
13,698.3286830357143
14,559.2291666666666
15,970.45703125
16,1012.4568965517242
17,1242.5595238095239
18,3581.0729166666665
19,1036.452922077922
20,1123.7323943661972
21,838.2536764705883
22,746.0625
23,1757.0729166666667
24,627.0240825688073
25,1667.2855392156862
26,1130.763888888889
27,4972.680921052632
28,6690.607638888889
29,1438.8315217391305
30,813.1736111111111
31,746.5059840425532
32,1608.560450819672
33,2534.4875
34,1736.951754385965
35,861.3244047619048
36,859.9300373134329
37,1565.2027027027027
38,1016.4253048780488
39,720.1194852941177
40,602.4203431372549
41,1316.8402777777778
42,605.546875
43,996.9209558823529
44,1046.7550505050506
45,1871.0771276595744
46,1720.6781914893618
47,1682.8163109756097
48,1219.3118990384614
49,1294.7641509433963
50,1119.4871794871794
51,1205.5088495575221
52,1385.9132281553398
53,1624.625
54,1028.7566489361702
55,1095.3425
56,1679.1261574074074
57,1121.8344155844156
58,918.2676630434783
59,1370.05
60,616.9902663934427
61,1344.733606557377
62,813.4010922330098
63,1350.7435344827586
64,756.4695945945946
65,1246.5131578947369
66,2116.5364583333335
67,987.2702205882352
68,1327.0717592592594
69,1434.0576171875
70,2715.3485576923076
71,1067.7169117647059
72,942.2358630952381
73,899.8333333333334
74,1231.3233418367347
75,2081.955030487805
76,1230.2272727272727
77,1508.0263157894738
78,908.6683238636364
79,833.590625
80,1577.1238425925926
81,835.2391975308642
82,1946.3997395833333
83,998.5619918699186
84,1294.5475
85,569.4182180851063
86,738.3525815217391
87,956.8973214285714
88,905.4122340425532
89,1247.8295454545455
90,877.9429945054945
91,752.593085106383
92,511.78399725274727
93,761.7456896551724
94,1958.314393939394
95,1159.8932926829268
96,925.6366822429907
97,824.3259803921569
98,1044.5882352941176
99,1060.5301966292134
100,654.3257874015748
101,906.3024635036496
102,731.881906077348
103,1753.2828608247423
104,1108.9900914634147
105,1157.762995049505
106,748.755
107,1293.3635752688172
108,1045.9309895833333
109,1098.7914540816328
110,668.8039568345324
111,647.4640625
112,690.699481865285
113,764.2222222222222
114,845.830518018018
115,720.37
116,854.5790289256198
117,801.487831858407
118,771.9004629629629
119,825.6803097345132
120,639.4244260204082
121,697.553228021978
122,854.3020833333334
123,681.7262931034483
124,700.8504746835443
125,729.3676900584795
126,875.0818965517242
127,1106.7152255639098
128,795.7007575757576
129,624.0394736842105
130,673.8808139534884
131,728.0291193181819
132,607.7678571428571
133,617.0676100628931
134,741.1057692307693
135,557.9971590909091
136,677.0783132530121
137,1049.7706117021276
138,658.140625
139,920.988475177305
140,599.1740088105727
141,751.4177852348994
142,552.6553468208092
143,705.4815924657535
144,824.109375
145,706.8878424657535
146,710.9160305343512
147,844.1650763358779
148,917.6594387755102
149,734.6670751633987
150,892.0176630434783
151,1108.0839646464647
152,1121.6875
153,1268.5861650485438
154,1407.25
155,1278.2517688679245
156,1084.7989130434783
157,864.2663043478261
158,1021.64306640625
159,1549.787326388889
160,1032.3192148760331
161,977.9935747663551
162,1072.408536585366
163,1133.1200787401574
164,881.6193181818181
165,1934.7395833333333
166,1946.2372448979593
167,1039.7596153846155
168,1307.7689549180327
169,1076.944110576923
170,1464.6916666666666
171,1305.2313311688313
172,2344.494680851064
173,1024.4868421052631
174,596.2080792682926
175,749.9823588709677
176,612.9064417177914
177,775.0716560509554
178,825.1355698529412
179,748.3619791666666
180,600.8096590909091
181,745.7232862903226
182,784.1947115384615
183,1087.4448529411766
184,569.9955673758865
185,951.7326388888889
186,724.5431034482758
187,648.5687869822485
188,773.2717391304348
189,583.9809782608696
190,754.6333661417323
191,555.673225308642
192,812.5576923076923
193,693.1692913385826
194,798.5271739130435
195,536.3186813186813
196,713.1699101796407
197,1048.8046116504854
198,778.9311594202899
199,516.0725308641976
200,837.675
201,753.0138888888889
202,547.3314790575917
203,696.8078703703703
204,866.7975663716815
205,840.3561580882352
206,893.2019927536232
207,777.6799242424242
208,627.7978187919463
209,1183.8218390804598
210,806.5518162393163
211,682.4954710144928
212,865.2184734513274
213,670.7732664233577
214,647.5647668393782
215,812.4655172413793
216,668.4034090909091
217,653.0083626760563
218,684.8729838709677
219,677.6262842465753
220,522.55523989899
221,701.484375
222,902.5957207207207
223,832.48322147651
224,861.4159482758621
225,975.709397810219
226,650.0439814814815
227,610.5056423611111
228,1045.655991735537
229,786.0825892857143
230,2405.0173611111113
231,745.135775862069
232,638.1776315789474
233,1004.2875
234,895.2864583333334
235,636.1103723404256
236,887.0797413793103
237,666.9619360902255
238,708.3653846153846
239,1341.0960820895523
240,668.0522260273973
241,967.5123762376238
242,796.7393867924528
243,775.6290064102565
244,677.4956896551724
245,810.1827330508474
246,824.5634541984733
247,1224.2313218390805
