interval,hitsperOccupL3(KB)
0,13230.381944444445
1,3674.4886363636365
2,1675.5916666666667
3,11811.458333333334
4,1185.3492647058824
5,482.0
6,847.3511904761905
7,405.54665492957747
8,737.9147727272727
9,830.8125
10,603.9907094594595
11,1094.375
12,1307.9411764705883
13,1239.9193548387098
14,1507.2181372549019
15,917.4395161290323
16,1558.25625
17,1483.6079545454545
18,1636.40625
19,1150.4458333333334
20,1222.3726851851852
21,676.0012135922331
22,1233.731884057971
23,1747.063679245283
24,821.4652777777778
25,2120.7444852941176
26,1324.0506329113923
27,1745.3472222222222
28,790.7565789473684
29,1527.034574468085
30,769.2958860759494
31,1567.1614583333333
32,1175.7045454545455
33,1048.03125
34,1508.8690476190477
35,1205.451923076923
36,2023.8308189655172
37,1365.9615384615386
38,2656.923828125
39,1772.373046875
40,1617.5535714285713
41,1783.5096153846155
42,1516.3715277777778
43,2137.840909090909
44,1056.5894396551723
45,2016.268115942029
46,2713.5190217391305
47,1033.4651898734178
48,2636.846590909091
49,1684.4847972972973
50,2597.8216911764707
51,2527.459239130435
52,2251.2926136363635
53,2124.841346153846
54,2682.9829545454545
55,2880.347222222222
56,1394.6293604651162
57,1883.0514705882354
58,1326.1847014925372
59,891.6285211267606
60,1380.735294117647
61,1137.8725961538462
62,1274.7103658536585
63,1149.53125
64,1291.8628246753246
65,1365.0568181818182
66,1755.501893939394
67,994.3084016393443
68,844.7790948275862
69,828.9423076923077
70,1352.6917613636363
71,1479.5265151515152
72,1628.404605263158
73,1548.5572916666667
74,1497.4436475409836
75,1366.1002604166667
76,1367.986111111111
77,1917.7107558139535
78,1673.689236111111
79,1368.7316176470588
80,1718.0208333333333
81,1742.8819444444443
82,1462.608695652174
83,1331.1005434782608
84,1630.7421875
85,962.6785714285714
86,1672.8125
87,897.7353896103896
88,1064.2865566037735
89,1068.3459051724137
90,879.6797839506173
91,1392.4545454545455
92,1025.3860294117646
93,1792.0404411764705
94,2354.466911764706
95,923.4375
96,844.0785256410256
97,593.9473684210526
98,883.8116197183099
99,1082.8271484375
100,1327.313596491228
101,1810.6197033898304
102,1457.7083333333333
103,1392.0703125
104,1550.2323717948718
105,1375.5095108695652
106,1075.1625
107,2991.015625
108,1924.7619047619048
109,2249.358108108108
110,1201.075
111,887.7654109589041
112,1317.9146634615386
113,2938.997844827586
114,1043.6519607843138
115,1839.6875
116,1297.9
117,1058.9512711864406
118,3152.253787878788
119,941.5416666666666
120,984.9675324675325
121,1627.235576923077
122,1374.344951923077
123,1202.176724137931
124,1049.2897727272727
125,1275.343237704918
126,1132.204861111111
127,1567.0072115384614
128,1838.2091346153845
129,1380.4637096774193
130,998.9783653846154
131,752.1600274725274
132,1111.7836538461538
133,807.0530063291139
134,1065.8775684931506
135,1382.7232142857142
136,1992.6315789473683
137,2271.7329545454545
138,2899.4288793103447
139,1141.578125
140,716.4495481927711
141,950.1166666666667
142,1402.4320652173913
143,1604.53125
144,903.6338141025641
145,1183.4615384615386
146,1521.2996031746031
147,796.246875
148,1522.7272727272727
149,1878.2598039215686
150,1775.3075396825398
151,1039.7470238095239
152,1372.5381097560976
153,2303.310546875
154,1325.1960784313726
155,1129.7368421052631
156,1202.4448529411766
157,1697.157738095238
158,724.4397865853658
159,1222.9610655737704
160,1081.0551075268818
161,1310.625
162,1497.210648148148
163,802.0530913978495
164,834.7493811881188
165,1245.2355072463768
166,1575.8898305084747
167,1662.1607142857142
168,1490.34375
169,3166.934523809524
170,2085.2256944444443
171,1314.0271226415093
172,1280.95703125
173,1345.3483606557377
174,1576.488347457627
175,2193.744103773585
176,828.320895522388
177,1223.6941964285713
178,1737.107142857143
179,877.4801587301587
180,1958.3639705882354
181,2153.310185185185
182,1087.0036764705883
183,1036.5041208791208
184,4125.6625
185,868.2421875
186,1220.0969827586207
187,847.1117424242424
188,1090.6303879310344
189,940.9375
190,1388.4664351851852
191,1346.999080882353
192,911.4901620370371
193,1494.4947916666667
194,991.4583333333334
195,955.8653846153846
196,652.804588607595
197,906.1820652173913
198,1166.5625
199,545.7881944444445
200,990.0
201,1415.9166666666667
202,1078.3946917808219
203,1936.763392857143
204,960.7165948275862
205,1080.15625
206,1196.4423076923076
207,2265.2314814814813
208,760.1826923076923
209,1102.5502232142858
210,1458.482142857143
211,1055.010653409091
212,1601.6944444444443
213,1143.6923076923076
214,898.6507936507936
215,522.4211165048544
216,1630.8779761904761
217,1324.0625
218,2944.9857954545455
219,1167.4583333333333
220,929.3489583333334
221,929.109375
222,1674.2391304347825
223,1471.4607558139535
224,1743.0208333333333
225,923.1164383561644
226,1002.3529411764706
227,866.3075657894736
228,708.25390625
229,958.5572429906542
230,1888.3099489795918
231,1604.89375
232,1131.595643939394
233,1187.0287698412699
234,1660.98125
235,1135.9521484375
236,1574.639423076923
237,1111.377840909091
238,2234.225
239,2281.1309523809523
240,1993.3066860465117
241,1835.8671875
242,862.840625
243,1138.2291666666667
