interval,IPC
0,1.10712
1,0.364035
2,0.29412
3,0.31816500000000003
4,0.183095
5,0.190653
6,0.14791400000000002
7,0.11896
8,0.160424
9,0.12608
10,0.159646
11,0.128748
12,0.130084
13,0.18851099999999998
14,0.189254
15,0.217365
16,0.263202
17,0.187623
18,0.202405
19,0.151087
20,0.169956
21,0.141173
22,0.146396
23,0.149722
24,0.135273
25,0.643215
26,0.929868
27,1.1935200000000001
28,0.822967
29,0.648842
30,1.1216700000000002
31,1.35931
32,1.24066
33,0.8370569999999999
34,0.742003
35,0.5959760000000001
36,0.718961
37,0.7271380000000001
38,0.667396
39,0.614631
40,0.536014
41,0.585867
42,0.529848
43,0.575235
44,0.505558
45,0.668067
46,0.591809
47,0.6683100000000001
48,0.544967
49,0.526591
50,0.485671
51,0.514273
52,0.568516
53,0.469787
54,0.540906
55,0.603542
56,0.6865899999999999
57,0.5270520000000001
58,0.511063
59,0.511004
60,0.548776
61,0.491918
62,0.554945
63,0.53059
64,0.5847
65,0.714792
66,0.639814
67,0.513167
68,0.44847700000000007
69,0.576641
70,0.533872
71,0.570348
72,0.454658
73,0.527511
74,0.602796
75,0.642117
76,0.422544
77,0.516957
78,0.42252399999999996
79,0.425149
80,0.434943
81,0.42144799999999993
82,0.49428599999999995
83,0.6016130000000001
84,0.7315689999999999
85,0.6327729999999999
86,0.5132220000000001
87,0.501004
88,0.415554
89,0.363232
90,0.39206399999999997
91,0.24774699999999997
92,0.176767
93,0.230002
94,0.210139
95,0.138992
96,0.160677
97,0.123999
98,0.134443
99,0.137957
100,0.119468
101,0.171664
102,0.177395
103,0.22193400000000002
104,0.130407
105,0.1508
106,0.149179
107,0.168373
108,0.140443
109,0.163477
110,0.13139
111,0.181981
112,0.205066
113,0.14561300000000002
114,0.140432
115,0.127558
116,0.14586300000000002
117,0.125567
118,0.167318
119,0.13619
120,0.21465399999999998
121,0.19473900000000002
122,0.186908
123,0.138627
124,0.133472
125,0.154003
126,0.137509
127,0.148234
128,0.133825
129,0.179396
130,0.206395
131,0.243025
132,0.162117
133,0.195251
134,0.21749000000000002
135,0.200177
136,0.199716
137,0.17852300000000002
138,0.199479
139,0.23964699999999997
140,0.325477
141,0.25459299999999996
142,0.234958
143,0.20718499999999998
144,0.283182
145,0.249621
146,0.212204
147,0.278912
148,0.354939
149,0.30925199999999997
150,0.395281
151,0.296675
152,0.356098
153,0.316834
154,0.375407
155,0.311942
156,0.279418
157,0.230936
158,0.290918
159,0.268178
160,0.29196300000000003
161,0.221419
162,0.286602
163,0.340812
164,0.383714
165,0.391884
166,0.40874699999999997
167,0.302568
168,0.370559
169,0.286139
170,0.283597
171,0.243844
172,0.289025
173,0.239578
174,0.257067
175,0.239141
176,0.25853000000000004
177,0.31195
178,0.289186
179,0.249169
180,0.23096799999999998
181,0.271757
182,0.225448
183,0.278627
184,0.24325100000000002
185,0.228753
186,0.332581
187,0.359437
188,0.24917399999999998
189,0.232961
190,0.24334499999999998
191,0.23433299999999999
192,0.26868200000000003
193,0.239234
194,0.272242
195,0.285067
196,0.339891
197,0.277665
198,0.264403
199,0.22170399999999998
200,0.209128
201,0.24354299999999998
202,0.16464
203,0.264718
204,0.24301799999999998
205,0.349248
206,0.193881
207,0.267909
208,0.216464
209,0.252621
210,0.140939
211,0.21502399999999997
212,0.22687800000000002
213,0.188987
214,0.330461
215,0.298037
216,0.273253
217,0.19051700000000002
218,0.265846
219,0.24209
220,0.23152399999999998
221,0.256975
222,0.19613599999999998
223,0.307264
224,0.286485
225,0.202916
226,0.23385100000000003
227,0.25013
228,0.254594
229,0.202022
230,0.169149
231,0.203596
232,0.259653
233,0.27119299999999996
234,0.33819699999999997
235,0.241168
236,0.271393
237,0.226467
238,0.257479
239,0.23690999999999998
240,0.249315
241,0.264843
242,0.24067600000000003
243,0.278681
244,0.278026
245,0.24549400000000002
246,0.207769
247,0.182979
248,0.25165
249,0.281335
250,0.304222
251,0.447456
252,0.31382899999999997
253,0.24093
254,0.377471
255,0.30803
256,0.272646
257,0.286238
258,0.279141
259,0.331187
260,0.324785
261,0.30754499999999996
262,0.26394
263,0.292206
264,0.274068
265,0.290001
266,0.262743
267,0.296214
268,0.296133
269,0.369313
270,0.257036
271,0.286119
272,0.304023
273,0.274573
274,0.361599
275,0.298317
276,0.36917300000000003
277,0.356943
278,0.41508999999999996
279,0.261795
280,0.353864
281,0.33115900000000004
282,0.28337399999999996
283,0.238148
284,0.295162
285,0.31863600000000003
