interval,hitsL3
0,82416.0
1,116309.0
2,145519.0
3,99279.0
4,246974.0
5,186443.0
6,248910.0
7,415828.0
8,375807.0
9,406818.0
10,391183.0
11,307315.0
12,399987.0
13,270227.0
14,266251.0
15,190483.0
16,166585.0
17,251366.0
18,260270.0
19,253508.0
20,364175.0
21,374378.0
22,293291.0
23,354646.0
24,330910.0
25,347838.0
26,311524.0
27,240388.0
28,346449.0
29,320576.0
30,381736.0
31,331289.0
32,323378.0
33,344355.0
34,348592.0
35,333488.0
36,211891.0
37,291347.0
38,317552.0
39,367411.0
40,357144.0
41,333184.0
42,302676.0
43,306623.0
44,355414.0
45,249702.0
46,272483.0
47,340833.0
48,272491.0
49,349720.0
50,336099.0
51,314487.0
52,339350.0
53,284392.0
54,260131.0
55,205905.0
56,339013.0
57,349234.0
58,325243.0
59,339617.0
60,314775.0
61,329098.0
62,360996.0
63,239161.0
64,247320.0
65,256665.0
66,344455.0
67,308171.0
68,331050.0
69,318376.0
70,296453.0
71,461281.0
72,420193.0
73,403755.0
74,372952.0
75,338326.0
76,505440.0
77,392949.0
78,498523.0
79,475865.0
80,453279.0
81,457666.0
82,357871.0
83,310042.0
84,445524.0
85,470588.0
86,484352.0
87,378441.0
88,386929.0
89,461174.0
90,436561.0
91,275767.0
92,316358.0
93,459736.0
94,417537.0
95,458737.0
96,474964.0
97,445134.0
98,474369.0
99,307550.0
100,341275.0
101,259940.0
102,459060.0
103,316058.0
104,376077.0
105,449533.0
106,348341.0
107,330128.0
108,402422.0
109,316673.0
110,276881.0
111,407503.0
112,440589.0
113,364542.0
114,437002.0
115,310037.0
116,394387.0
117,452522.0
118,321772.0
119,246666.0
120,320145.0
121,451052.0
122,444594.0
123,398415.0
124,433262.0
125,400303.0
126,448694.0
127,309713.0
128,312965.0
129,396627.0
130,405465.0
131,437491.0
132,406045.0
133,421700.0
134,360543.0
135,379858.0
136,409630.0
137,267354.0
138,337831.0
139,392911.0
140,411160.0
141,386978.0
142,398305.0
143,404982.0
144,361264.0
145,398457.0
146,259815.0
147,287864.0
