interval,hitsperOccupL3(KB)
0,1339.388888888889
1,3178.0208333333335
2,1539.6826923076924
3,1174.4609375
4,3638.0572916666665
5,1008.12
6,1081.3849431818182
7,1887.2954545454545
8,1264.0291666666667
9,1955.4411764705883
10,1072.71875
11,1043.32421875
12,1293.423076923077
13,717.8416666666667
14,335.7935606060606
15,613.725
16,295.4546875
17,1323.0401785714287
18,904.9947916666666
19,1478.7727272727273
20,952.3252840909091
21,813.3111413043479
22,2021.371875
23,1429.96875
24,1014.0600961538462
25,657.5017361111111
26,1475.763888888889
27,2267.13125
28,727.6469907407408
29,449.184375
30,453.7239583333333
31,470.875
32,996.0729166666666
33,1982.045138888889
34,605.6071428571429
35,728.5347222222222
36,945.0422794117648
37,722.4543269230769
38,1228.7958333333333
39,569.9157196969697
40,775.3997395833334
41,665.03125
42,4698.90625
43,1095.0865384615386
44,617.1174568965517
45,574.7154017857143
46,517.15625
47,663.7159090909091
48,63.614583333333336
49,46.24305555555556
50,132.05208333333334
51,453.6354166666667
52,37.004464285714285
53,72.03977272727273
54,55.37797619047619
55,547.8125
56,52.160714285714285
57,46.237132352941174
58,187.02604166666666
59,303.5703125
60,26.380681818181817
61,41.0625
62,46.5859375
63,128.77734375
64,241.67708333333334
65,23.49715909090909
66,19.793154761904763
67,37.517113095238095
68,2468.547794117647
69,inf
70,2315.2946428571427
71,687.9002403846154
72,1855.5520833333333
73,1373.99375
74,1925.0823863636363
75,833.4903017241379
76,1296.3125
77,1076.31125
78,427.3605182926829
79,577.1629464285714
80,521.3796296296297
81,318.62291666666664
82,764.8457661290323
83,1940.88125
84,792.8607954545455
85,576.768581081081
86,1556.6477272727273
87,1093.7559523809523
88,1392.9879807692307
89,1225.1360294117646
90,487.7564655172414
91,682.0369318181819
92,510.47222222222223
93,684.7527173913044
94,660.5802364864865
95,781.4497282608696
96,499.3248106060606
97,484.4940878378378
98,560.2546296296297
99,1218.2302631578948
100,999.9243421052631
101,434.00275735294116
102,718.2631578947369
103,396.30892857142857
104,390.97093023255815
105,843.4944196428571
106,502.09950657894734
107,706.9854910714286
108,734.7309782608696
