interval,hitsL3
0,10214.0
1,19974.0
2,24195.0
3,70929.0
4,774744.0
5,221313.0
6,31013.0
7,26278.0
8,1323860.0
9,1398860.0
10,1379440.0
11,2259440.0
12,2518710.0
13,2465400.0
14,1326780.0
15,11346.0
16,335546.0
17,757807.0
18,27898.0
19,24509.0
20,732769.0
21,1395540.0
22,1408330.0
23,1789180.0
24,2528050.0
25,2508700.0
26,2091550.0
27,891385.0
28,363098.0
29,29919.0
30,36803.0
31,1167840.0
32,1404420.0
33,1404480.0
34,2139060.0
35,2529240.0
36,2365200.0
37,1584660.0
38,1087900.0
39,35322.0
40,35291.0
41,236930.0
42,1342960.0
43,1394310.0
44,1388870.0
45,2436070.0
46,2413640.0
47,2392590.0
48,1154180.0
49,852076.0
50,28338.0
51,29035.0
52,601817.0
53,1373270.0
54,1360280.0
55,1615940.0
56,2446080.0
57,2504860.0
58,2440470.0
59,635079.0
60,842771.0
61,31846.0
62,28009.0
63,1030700.0
64,1373980.0
65,1391270.0
66,1906330.0
67,2475340.0
68,2498740.0
69,2026720.0
70,963545.0
71,252139.0
72,25663.0
73,75149.0
74,1364630.0
75,1372300.0
76,1353220.0
77,2256170.0
78,2324510.0
79,2333080.0
80,1279470.0
81,1157860.0
82,35142.0
83,26844.0
84,334628.0
85,1348950.0
86,1363090.0
87,1345780.0
88,2424070.0
89,2328350.0
90,2261780.0
91,1157950.0
92,1043860.0
93,33082.0
94,32643.0
95,558913.0
96,1309690.0
97,1385480.0
98,1524130.0
99,2375770.0
100,2439400.0
101,2313690.0
102,735909.0
103,1036770.0
