interval,hitsL3
0,721527.0
1,866039.0
2,66913.0
3,830001.0
4,918399.0
5,317479.0
6,114374.0
7,722162.0
8,936392.0
9,981240.0
10,734051.0
11,71445.0
12,171229.0
13,89133.0
14,153839.0
15,323726.0
16,567528.0
17,23443.0
18,43931.0
19,88604.0
20,370454.0
21,1013920.0
22,499514.0
23,569772.0
24,1449220.0
25,198141.0
26,143894.0
27,365048.0
28,465077.0
29,752079.0
30,848163.0
31,599756.0
32,179603.0
33,658258.0
34,635839.0
35,72099.0
36,100848.0
37,171504.0
38,284121.0
39,70571.0
40,450490.0
41,349031.0
42,307690.0
43,271411.0
44,253501.0
45,387639.0
46,188876.0
47,1119190.0
48,116513.0
49,117052.0
50,258545.0
51,103454.0
52,256300.0
53,205681.0
54,276056.0
55,340251.0
56,308760.0
57,421828.0
58,192748.0
59,333257.0
60,337174.0
61,538994.0
62,428326.0
63,646818.0
64,966316.0
65,751750.0
66,455692.0
67,674708.0
68,907026.0
69,1060930.0
70,655555.0
71,735374.0
72,464409.0
73,356467.0
74,723973.0
75,1151030.0
76,740198.0
77,1134100.0
78,635900.0
79,805220.0
80,123330.0
81,20675.0
82,57842.0
83,20354.0
84,59909.0
85,448828.0
86,76267.0
87,345653.0
88,1167600.0
89,450039.0
90,918641.0
91,494801.0
92,844939.0
93,247019.0
94,1182080.0
95,451932.0
96,1149850.0
97,745669.0
98,1120630.0
99,332957.0
100,630475.0
101,497948.0
102,686585.0
103,811193.0
104,922337.0
105,725637.0
106,971479.0
107,230125.0
108,652537.0
109,671446.0
110,970360.0
111,1014890.0
112,802800.0
113,827430.0
114,1187710.0
