interval,hitsperOccupL3(KB)
0,1778.3482142857142
1,11.060661764705882
2,14.102370689655173
3,29.910416666666666
4,31.73125
5,16.041666666666668
6,14.7421875
7,13.621448863636363
8,15.112723214285714
9,13.753472222222221
10,15.644021739130435
11,15.028125
12,14.12823275862069
13,7.190896739130435
14,11.476851851851851
15,11.84375
16,17.495738636363637
17,7.546875
18,7.13125
19,18.523026315789473
20,9.494444444444444
21,13.314903846153847
22,12.818287037037036
23,13.32336956521739
24,8.061011904761905
25,19.840073529411764
26,9.06625
27,10.52951388888889
28,10.489224137931034
29,11.2041015625
30,8.89236111111111
31,1312.5734060402685
32,19863.011853448275
33,14104.0625
34,26126.25
35,23262.760416666668
36,25288.636363636364
37,15865.693430656935
38,18412.616822429907
39,17739.618644067796
40,18008.74495967742
41,19996.11565420561
42,19326.078539823007
43,20768.005952380954
44,14907.77027027027
45,16882.404891304348
46,20933.159722222223
47,18765.786637931036
48,21427.730582524273
49,25331.901041666668
50,19231.52043269231
51,18967.88504464286
52,15695.532570422536
53,16797.434701492537
54,18200.431910569107
55,16393.26388888889
56,16991.5625
57,16084.28171641791
58,14820.113255033557
59,26356.25
60,22550.287356321838
61,15698.902671755724
62,15421.852992957747
63,15545.571043165468
64,14554.52302631579
65,13871.273291925465
66,15373.620689655172
67,13613.43368902439
68,13183.972953216375
69,11685.09987113402
70,21181.93359375
71,21424.42528735632
72,11336.847527472528
73,12054.942255434782
74,14044.66560509554
75,13106.10294117647
76,12022.06081081081
77,14575.909810126583
78,10961.664603960397
79,10823.11580882353
80,10335.243055555555
81,15408.611641221374
82,19248.879076086956
83,11637.979497354498
84,10705.907960199005
85,9897.967367256637
86,12650.256147540984
87,11746.033031088084
88,11408.814102564103
89,12910.202205882353
90,10867.530487804877
91,11870.304232804232
92,17050.337837837837
93,7722.342414529914
94,9124.897119341564
95,10929.594678217822
96,11875.73717948718
97,9104.053714859438
98,10541.069312796208
99,9380.673283261802
100,9424.622395833334
101,9483.426816239316
102,9433.46688034188
103,15412.05357142857
104,8036.856617647059
105,8228.007518796992
106,10235.192087155963
107,10374.10300925926
108,12653.666907514451
