interval,hitsL3
0,385836.0
1,877088.0
2,1235050.0
3,1300840.0
4,1536380.0
5,989442.0
6,946891.0
7,1319030.0
8,1276360.0
9,1192040.0
10,1336000.0
11,1181880.0
12,1110680.0
13,1138210.0
14,1151340.0
15,1115820.0
16,1134880.0
17,1017100.0
18,1195560.0
19,1204000.0
20,1144940.0
21,1111250.0
22,1016500.0
23,1331910.0
24,1323560.0
25,939100.0
26,1013100.0
27,1118740.0
28,1335650.0
29,1083330.0
30,987036.0
31,1099980.0
32,1186580.0
33,1253830.0
34,1049460.0
35,1037230.0
36,1077190.0
37,1289140.0
38,1060760.0
39,1003960.0
40,1081220.0
41,1138860.0
42,1317310.0
43,1110280.0
44,975985.0
45,1119680.0
46,1238250.0
47,1208600.0
48,1124150.0
49,1232290.0
50,983616.0
51,1145700.0
52,1036660.0
53,1090480.0
54,972994.0
55,950352.0
56,1092440.0
57,1177560.0
58,1048890.0
59,1167650.0
60,964730.0
61,1171450.0
62,1190450.0
63,1128080.0
64,952508.0
65,1048420.0
66,1133480.0
67,1294400.0
68,1111610.0
69,1050560.0
70,1023270.0
71,1247860.0
72,1233980.0
73,992163.0
74,1070830.0
75,1059370.0
76,1334070.0
77,1260050.0
78,975700.0
79,1059610.0
80,1212230.0
81,1351860.0
82,1180720.0
83,1110320.0
84,1032300.0
85,1261180.0
86,1313400.0
87,1000570.0
88,1121310.0
89,1246570.0
90,1377110.0
91,1230140.0
92,1101260.0
93,1169310.0
94,1300670.0
95,1199160.0
96,1246810.0
97,1090350.0
98,1155140.0
99,1137630.0
100,1311300.0
101,1127100.0
102,1227820.0
103,1005090.0
104,1101620.0
105,1178300.0
106,1063260.0
107,1039680.0
108,1169810.0
109,1252930.0
110,1218460.0
111,1198870.0
112,914302.0
113,1191570.0
114,1243690.0
115,1096460.0
116,1110880.0
117,1103510.0
118,1199640.0
119,1250090.0
120,1100110.0
121,1020160.0
122,1237430.0
123,1298360.0
124,1071970.0
125,1082860.0
126,1147910.0
127,1312360.0
128,1257380.0
129,1091880.0
130,1026610.0
131,1257780.0
132,1252060.0
133,1203360.0
134,982857.0
135,951996.0
136,1218930.0
137,1493550.0
138,1490620.0
139,1256150.0
140,1455170.0
141,1353250.0
142,1030420.0
143,1019620.0
144,1200080.0
145,1139720.0
146,1262100.0
147,1347330.0
148,991625.0
149,949156.0
150,1225290.0
151,1166000.0
152,981730.0
153,1124660.0
154,1144980.0
155,1298250.0
156,930774.0
157,971017.0
158,1014720.0
159,1134810.0
160,1144780.0
161,1172410.0
162,1012340.0
163,1164370.0
164,1185340.0
165,1147120.0
166,1075420.0
167,1147100.0
168,991584.0
169,1158220.0
170,1152620.0
171,992596.0
172,1142630.0
173,1325200.0
174,1046140.0
175,1139320.0
176,1112630.0
177,1047310.0
178,1039740.0
179,1148360.0
180,1169710.0
181,1137940.0
182,984012.0
183,1108360.0
184,1228280.0
185,1050300.0
186,964844.0
187,1026770.0
188,1235970.0
189,1180500.0
190,924642.0
191,820608.0
192,876353.0
193,1040220.0
194,642690.0
195,657499.0
196,735053.0
197,1002360.0
198,817088.0
199,658277.0
200,713290.0
201,1008930.0
202,766277.0
