interval,hitsperOccupL3(KB)
0,439.45025510204084
1,399.5792682926829
2,475.79553571428573
3,857.8038194444445
4,1078.654296875
5,581.8217592592592
6,600.5254629629629
7,628.1060267857143
8,547.7111742424242
9,609.0590277777778
10,1562.51875
11,719.1732954545455
12,570.3599537037037
13,604.94
14,814.2306547619048
15,590.8790760869565
16,957.2625
17,1007.5267857142857
18,1091.5985576923076
19,904.8645833333334
20,582.1158854166666
21,697.2470238095239
22,1763.16796875
23,546.0625
24,654.335597826087
25,695.2529761904761
26,2430.765625
27,562.4771634615385
28,574.9675
29,963.5916666666667
30,777.4600694444445
31,629.4495192307693
32,1123.0520833333333
33,879.8145833333333
34,1007.3341346153846
35,848.38671875
36,564.7125
37,531.9387019230769
38,846.64453125
39,965.2589285714286
40,1019.91875
41,699.6036184210526
42,450.58958333333334
43,788.7680921052631
44,462.75231481481484
45,694.0758928571429
46,627.4630681818181
47,852.154296875
48,722.735119047619
49,409.58392857142854
50,684.4806547619048
51,742.0509868421053
52,685.0671875
53,1127.1822916666667
54,965.8125
55,814.5147058823529
56,647.59375
57,778.9930555555555
58,543.1203703703703
59,669.7475
60,810.8420138888889
61,606.1504629629629
62,1155.9375
63,550.6539351851852
64,453.7842741935484
65,1404.840625
66,935.6433823529412
67,515.095643939394
68,1030.064453125
69,946.5110294117648
70,563.4387019230769
71,881.3784722222222
72,1078.0989583333333
73,532.1390086206897
74,807.608552631579
75,719.1576704545455
76,596.4308035714286
77,806.9203125
78,654.7459239130435
79,682.6979166666666
80,829.46484375
81,509.5416666666667
82,1559.128125
83,817.8928571428571
84,704.996875
85,521.5569196428571
86,1307.346875
87,637.7613636363636
88,613.9778645833334
89,729.328125
90,807.9485294117648
91,1517.184375
92,660.5559895833334
93,497.05691964285717
94,597.4932065217391
95,884.9393382352941
96,606.421875
97,966.3291666666667
98,487.81138392857144
99,1033.529017857143
100,825.9427083333334
101,747.7006578947369
102,568.88671875
103,725.50625
104,853.9926470588235
105,846.0073529411765
106,460.7368951612903
107,769.7065972222222
108,504.9580078125
109,827.278125
110,408.6169871794872
111,1288.5576923076924
112,526.8364583333333
113,1314.4166666666667
114,646.391369047619
115,1043.6294642857142
116,451.2660714285714
