interval,hitsperOccupL3(KB)
0,3122.4375
1,289.1616847826087
2,381.4417016806723
3,634.4075520833334
4,324.171875
5,409.47208737864077
6,554.391129032258
7,662.6894685039371
8,413.66243961352654
9,601.3723776223776
10,455.91282894736844
11,369.7246696035242
12,436.83937823834196
13,597.0576298701299
14,522.1609848484849
15,434.5571682464455
16,539.8419117647059
17,694.7771317829457
18,471.5994623655914
19,514.1437146892655
20,580.3962418300654
21,378.85597826086956
22,406.8480861244019
23,695.4626937984497
24,435.3231189320388
25,501.34191176470586
26,393.07681718061673
27,432.3136210762332
28,850.0556930693069
29,706.114936440678
30,617.4448529411765
31,408.4717261904762
32,377.9473547717842
33,461.02807971014494
34,588.8620283018868
35,563.3850931677018
36,560.7381134969326
37,391.6861413043478
38,416.19254484304935
39,573.5247564935065
40,648.6713286713286
41,472.78192934782606
42,639.1514423076923
43,598.0255681818181
44,425.8189655172414
45,362.0468009478673
46,456.984649122807
47,514.931640625
48,327.10215336134456
49,646.7350746268656
50,614.1064814814815
51,873.1748670212766
52,382.8481735159817
53,415.7045990566038
54,360.7665816326531
55,678.9152892561983
56,567.4030172413793
57,544.8854166666666
58,600.606884057971
59,415.9115853658537
60,464.5833333333333
61,469.35535714285714
62,386.91498815165875
63,472.66257225433526
64,499.71139705882354
65,620.3455105633802
66,443.88157894736844
67,492.2559691011236
68,429.03044871794873
69,627.8618421052631
70,746.6684782608696
71,371.49103139013454
72,578.6323051948052
73,826.5122767857143
74,507.2810734463277
75,387.7743544600939
76,463.07665745856355
77,513.6430921052631
78,394.14324162679424
79,438.820564516129
80,585.3213652482269
81,462.99551104972375
82,385.57783018867923
83,483.6077844311377
84,515.2417452830189
85,785.9568584070796
86,605.5818965517242
87,520.0678571428572
88,680.011574074074
89,507.077850877193
90,425.8991745283019
91,748.4745762711865
92,583.6018668831168
93,473.2602339181287
94,448.7973484848485
95,425.2291666666667
96,352.469414893617
97,556.525088028169
98,408.76077586206895
99,584.6003401360545
100,537.717803030303
101,483.49018895348837
102,671.953125
103,437.5489267676768
104,563.775
105,521.248150887574
106,411.8211722488038
107,432.1402994791667
108,484.21610169491527
109,1009.2573529411765
110,420.13671875
111,401.88960280373834
112,768.412093495935
113,438.4996639784946
114,456.5395942408377
115,371.12132352941177
116,528.5681818181819
117,543.6360294117648
118,466.29755434782606
119,426.0493119266055
120,1160.4305555555557
121,890.359375
122,1277.142857142857
123,896.2159090909091
124,1289.785
125,1088.502232142857
126,876.6832386363636
