interval,IPC
0,1.7366700000000002
1,1.42141
2,2.5671
3,2.72526
4,2.26971
5,1.8121200000000002
6,2.22227
7,3.10558
8,3.17663
9,3.16106
10,3.16332
11,3.1207
12,1.79739
13,2.51621
14,2.59571
15,1.99755
16,1.9983400000000002
17,1.99318
18,1.9959
19,1.9907099999999998
20,1.9923
21,1.99416
22,1.99112
23,1.99203
24,1.99364
25,1.9939
26,1.9960200000000001
27,1.993
28,1.9897099999999999
29,1.9934599999999998
30,1.9925099999999998
31,1.9940200000000001
32,1.9962
33,1.99627
34,1.99551
35,1.9969599999999998
36,1.99891
37,1.99565
38,1.9971700000000001
39,1.9966700000000002
40,1.9938799999999999
41,1.6968
42,2.39393
43,3.19351
44,3.18024
45,3.1798900000000003
46,3.1055599999999997
47,3.15314
48,1.59806
49,2.7477
50,2.48668
51,2.00268
52,2.0011900000000002
53,2.00758
54,2.0062599999999997
55,2.0047200000000003
56,2.00599
57,2.00468
58,2.0036400000000003
59,2.00437
60,2.0013799999999997
61,2.0016
62,1.9734099999999999
63,1.96717
64,1.9730900000000002
65,1.9726299999999999
66,1.9724700000000002
67,1.9641400000000002
68,1.97045
69,1.9756799999999999
70,1.9669299999999998
71,1.9745599999999999
72,2.0036400000000003
73,1.97685
74,1.9721
75,1.96587
76,1.9660400000000002
77,1.4656200000000001
78,1.25692
79,3.0068099999999998
80,3.0335900000000002
81,3.12395
82,3.11088
83,3.0888299999999997
84,2.74349
85,1.55498
86,3.21759
87,2.0095
88,2.0101299999999998
89,2.01022
90,2.00887
91,2.00948
92,2.00509
93,2.00779
94,1.9645700000000001
95,2.00515
96,1.99023
97,1.9615799999999999
98,1.9648
99,1.96478
100,1.9634599999999998
101,1.96555
102,1.9636
103,1.96557
104,1.96386
105,1.9650299999999998
106,1.96547
107,1.9686299999999999
108,1.9648400000000001
109,1.96816
110,1.9658099999999998
111,1.96355
112,1.9617900000000001
113,2.00367
114,0.934153
