interval,hitsL3
0,31733.0
1,27697.0
2,26201.0
3,27355.0
4,26127.0
5,24977.0
6,24950.0
7,24689.0
8,23700.0
9,25064.0
10,24337.0
11,24607.0
12,24159.0
13,25561.0
14,24979.0
15,23575.0
16,24426.0
17,24558.0
18,24806.0
19,23658.0
20,23747.0
21,23561.0
22,23772.0
23,23497.0
24,23844.0
25,23992.0
26,25250.0
27,24076.0
28,22871.0
29,22940.0
30,22939.0
31,23715.0
32,24837.0
33,23100.0
34,23275.0
35,22006.0
36,21944.0
37,21983.0
38,21643.0
39,20753.0
40,19162.0
41,19572.0
42,17535.0
43,15100.0
44,12411.0
45,14802.0
46,13071.0
47,15059.0
48,12571.0
49,15683.0
50,12927.0
51,15858.0
52,12845.0
53,12013.0
54,10455.0
55,11884.0
56,12092.0
57,11762.0
58,10586.0
59,10453.0
60,10221.0
61,11500.0
62,10795.0
63,9329.0
64,11005.0
65,10603.0
66,10697.0
67,9258.0
68,10625.0
69,10691.0
70,10299.0
71,10422.0
72,9346.0
73,10920.0
74,10592.0
75,9257.0
76,9259.0
77,9968.0
78,8466.0
79,8544.0
80,9977.0
81,8816.0
82,8722.0
83,8719.0
84,8680.0
85,9130.0
86,9008.0
87,9047.0
88,9250.0
89,8570.0
90,8909.0
91,8497.0
92,9234.0
93,8898.0
94,8952.0
95,9418.0
96,9217.0
97,9852.0
98,9296.0
99,9030.0
