interval,IPC
0,2.18951
1,2.18305
2,2.1812
3,2.16772
4,2.18151
5,2.1887
6,2.18912
7,2.18548
8,2.18968
9,2.1865200000000002
10,2.1667
11,2.18284
12,2.1857900000000003
13,2.1830700000000003
14,2.18785
15,2.42231
16,3.00005
17,2.98706
18,1.01149
19,0.680765
20,0.582237
21,0.567272
22,0.546339
23,0.539115
24,0.612695
25,0.537154
26,0.533305
27,0.535478
28,0.48923199999999994
29,0.618953
30,0.610047
31,0.5203949999999999
32,0.617319
33,0.526678
34,0.52815
35,0.5247930000000001
36,0.52691
37,0.513366
38,0.528283
39,0.589915
40,0.571517
41,0.6303880000000001
42,0.6265970000000001
43,0.612781
44,0.605908
45,0.618583
46,0.60949
47,0.525008
48,0.620735
49,0.61771
50,0.613178
51,0.612197
52,0.574909
53,0.5356270000000001
54,0.596887
55,0.594079
56,0.590653
57,0.513124
58,0.496817
59,0.671233
60,0.674659
61,0.755364
62,0.750521
63,0.721581
64,2.61016
65,2.66345
66,2.56028
67,2.50263
68,2.52656
69,2.51693
70,2.46435
71,2.48731
72,2.48848
73,2.47465
74,2.44892
75,2.41478
76,2.42236
77,2.37736
78,2.3948400000000003
79,2.1337
80,1.45787
81,1.3861299999999999
82,0.89759
83,0.707503
84,0.669828
85,0.644303
86,0.497613
87,0.5504479999999999
88,0.60668
89,0.6128819999999999
90,0.6336729999999999
91,0.629529
92,0.6203609999999999
93,0.625283
94,0.618958
95,0.624078
96,0.61387
97,0.598363
98,0.621106
99,0.6334270000000001
100,0.634871
101,0.62912
102,0.6175510000000001
103,0.627376
104,0.630444
105,0.61605
106,0.579334
107,0.599232
108,0.598427
109,0.523506
110,0.603226
111,0.530251
112,0.46336000000000005
113,0.398146
114,0.49689300000000003
115,0.514031
116,0.609128
117,0.525928
118,0.589729
119,0.744548
120,0.73428
121,0.727528
122,0.7409479999999999
123,0.793589
124,0.805996
125,0.627023
126,0.684818
127,0.595413
128,0.589561
129,0.587679
130,0.662305
131,0.682471
132,0.6865399999999999
133,0.696634
134,0.682284
135,0.674479
136,0.682387
137,0.66375
138,0.644297
139,0.666902
140,0.666262
141,0.670292
142,0.677013
143,0.677655
144,0.676344
145,0.662021
146,0.683254
