interval,hitsperOccupL3(KB)
0,32.317708333333336
1,14.495535714285714
2,34.2109375
3,22.588541666666668
4,16.06640625
5,13.9375
6,26.102678571428573
7,16.73046875
8,24.25
9,20.34375
10,18.55078125
11,38.21875
12,22.088541666666668
13,44.3828125
14,28.1
15,178.41666666666666
16,73.359375
17,4.413815789473684
18,517.0082720588235
19,734.3112244897959
20,586.2090163934427
21,347.08639705882354
22,587.9108796296297
23,629.175
24,545.9497549019608
25,619.9527925531914
26,688.9549418604652
27,807.0512820512821
28,606.9022606382979
29,747.125
30,641.6796875
31,671.1929347826087
32,664.2865691489362
33,463.7336753731343
34,608.2573529411765
35,486.1532258064516
36,449.5580357142857
37,412.0716145833333
38,549.8488636363636
39,650.4368206521739
40,534.4547193877551
41,430.9741847826087
42,664.3522727272727
43,497.85526315789474
44,624.5159574468086
45,423.57608695652175
46,314.66655585106383
47,502.37447033898303
48,560.530070754717
49,672.4240056818181
50,382.47931338028167
51,416.06295955882354
52,518.1272321428571
53,586.3269230769231
54,376.64720394736844
55,423.2943097014925
56,366.47423986486484
57,386.45804794520546
58,391.6017857142857
59,29.188920454545453
60,31.366477272727273
61,39.5593112244898
62,50.536184210526315
63,25.58791666666667
64,38138.35227272727
65,48480.28846153846
66,82809.375
67,56575.260416666664
68,34801.40625
69,46510.208333333336
70,44179.6875
71,44220.8984375
72,44403.90625
73,40746.70138888889
74,39443.42105263158
75,26781.473214285714
76,33607.608695652176
77,30165.384615384617
78,43180.381944444445
79,2360.252403846154
80,25.175970873786408
81,167.5304969879518
82,631.1448598130842
83,467.52561475409834
84,508.30228365384613
85,445.4630681818182
86,463.4563253012048
87,308.61570247933884
88,377.43908898305085
89,447.02660891089107
90,406.3641826923077
91,462.87427325581393
92,367.65625
93,434.5194892473118
94,387.47641509433964
95,453.95947802197804
96,438.32974137931035
97,364.7857142857143
98,402.1907894736842
99,425.8806818181818
100,391.5593112244898
101,364.1981132075472
102,410.122893258427
103,348.8130733944954
104,345.5565476190476
105,424.2206325301205
106,529.7222222222222
107,401.55078125
108,401.21875
109,328.2613636363636
110,381.8851902173913
111,407.92151162790697
112,399.29588607594934
113,344.31567028985506
114,283.41608146067415
115,333.2006578947368
116,431.91964285714283
117,446.13441780821915
118,515.1776041666667
119,635.8556547619048
120,38.001768867924525
121,42.53390957446808
122,44.21875
123,43.31944444444444
124,49.7172256097561
125,735.2857142857143
126,610.5393835616438
127,714.2510775862069
128,471.94901315789474
129,279.8110465116279
130,483.6900684931507
131,487.5951086956522
132,526.9262295081967
133,438.93668831168833
134,522.8882575757576
135,517.7276785714286
136,469.2128164556962
137,490.5338541666667
138,504.92897727272725
139,410.796875
140,612.0535714285714
141,376.1626344086022
142,439.6185064935065
143,385.9144736842105
144,444.7626582278481
145,477.07236842105266
146,477.4125
147,469.39611486486484
148,364.78915662650604
149,466.8158783783784
