interval,IPC
0,2.4121200000000003
1,2.4270099999999997
2,2.3990400000000003
3,2.41112
4,2.41874
5,2.36185
6,2.40415
7,2.32115
8,2.3927099999999997
9,2.38835
10,2.41519
11,2.39284
12,2.38437
13,2.37672
14,2.33059
15,2.38335
16,2.2728900000000003
17,2.31795
18,2.1547400000000003
19,2.2349799999999997
20,2.25638
21,2.24519
22,2.25181
23,2.23177
24,2.26182
25,2.2464
26,2.2441299999999997
27,2.25774
28,2.15728
29,2.22195
30,2.2478599999999997
31,2.18063
32,2.26165
33,2.23765
34,2.26201
35,2.26573
36,2.26062
37,2.24111
38,2.25543
39,2.23575
40,2.1733599999999997
41,2.23177
42,2.22815
43,2.23014
44,2.25869
45,2.27231
46,2.25136
47,2.18218
48,2.23429
49,2.20195
50,2.21848
51,2.2328799999999998
52,2.22792
53,2.0735900000000003
54,2.21543
55,2.2147900000000003
56,2.1408400000000003
57,2.16151
58,2.22283
59,2.22359
60,2.20109
61,2.18072
62,2.19775
63,2.18007
64,2.29296
65,2.31542
66,2.27894
67,2.19696
68,2.27103
69,2.2520700000000002
70,2.30029
71,2.30135
72,2.20729
73,2.30625
74,2.31766
75,2.292
76,2.29643
77,2.2684599999999997
78,2.2907900000000003
79,2.26694
80,2.1915
81,2.22382
82,2.23106
83,2.23317
84,2.2657
85,2.24068
86,2.13197
87,2.12954
88,2.17047
89,2.26663
90,2.25972
91,2.21888
92,2.20336
93,2.23406
94,2.22955
95,2.256
96,2.17561
97,2.21049
98,2.22227
99,2.21862
100,2.2143900000000003
101,2.1905900000000003
102,2.20381
