interval,hitsL3
0,10445800.0
1,21786100.0
2,26400500.0
3,64065200.0
4,85721200.0
5,16467300.0
6,4139220.0
7,312806.0
8,1870470.0
9,608921.0
10,6885580.0
11,3225230.0
12,729723.0
13,961854.0
14,1204260.0
15,10482900.0
16,1779350.0
17,12672300.0
18,800445.0
19,3053600.0
20,23300200.0
21,73407600.0
22,75013500.0
23,73454500.0
24,74127500.0
25,70512000.0
26,311289.0
27,451368.0
28,313212.0
29,705053.0
30,358612.0
31,405259.0
32,367337.0
33,522299.0
34,578717.0
35,349817.0
36,313426.0
37,411531.0
38,351537.0
39,583730.0
40,612270.0
41,628655.0
42,390283.0
43,337735.0
44,440931.0
45,338453.0
46,384454.0
47,339359.0
48,314630.0
49,334736.0
50,477546.0
51,794795.0
52,500901.0
53,283131.0
54,391765.0
55,318946.0
56,405105.0
57,337703.0
58,369950.0
59,389293.0
60,353672.0
61,579129.0
62,424621.0
63,426506.0
64,262722.0
65,355026.0
66,386642.0
67,350455.0
68,362169.0
69,394730.0
70,304240.0
71,707716.0
72,678220.0
73,572469.0
74,293328.0
75,359374.0
76,380894.0
77,379037.0
78,513578.0
79,434734.0
80,351370.0
81,579014.0
82,566945.0
83,898305.0
84,432539.0
85,510956.0
86,436102.0
87,393340.0
88,603542.0
89,388423.0
90,454165.0
91,489755.0
92,553325.0
93,888000.0
94,473214.0
95,584729.0
96,406896.0
97,413392.0
98,576649.0
99,471146.0
100,478941.0
101,515791.0
102,577191.0
103,876166.0
104,761056.0
105,497150.0
106,361781.0
107,512975.0
108,394789.0
109,374398.0
110,413380.0
111,441036.0
112,509780.0
113,611504.0
114,724240.0
115,534581.0
116,378333.0
117,603943.0
118,354635.0
119,500658.0
120,493210.0
121,466582.0
122,514801.0
123,696465.0
124,881123.0
125,827322.0
126,385941.0
127,499004.0
128,403275.0
129,480993.0
130,439174.0
131,380891.0
132,397128.0
133,456707.0
134,708006.0
135,561814.0
136,491779.0
137,428564.0
138,332730.0
139,483288.0
140,379011.0
141,492176.0
142,396889.0
143,337648.0
144,666117.0
145,610124.0
146,939420.0
147,287339.0
148,459840.0
149,426030.0
150,408182.0
151,481178.0
152,515117.0
153,433345.0
154,411488.0
155,566835.0
156,802489.0
157,441867.0
158,399280.0
159,459960.0
160,623784.0
161,457968.0
162,380463.0
163,340098.0
164,664650.0
165,562097.0
166,540308.0
167,794018.0
168,644206.0
169,590467.0
170,465501.0
171,606478.0
172,587282.0
173,681390.0
174,401398.0
175,355941.0
176,486323.0
177,327549.0
178,289059.0
179,499261.0
180,379009.0
181,380201.0
182,504355.0
183,610357.0
184,917313.0
185,679880.0
186,712184.0
187,508416.0
188,781437.0
189,517122.0
190,429872.0
191,284813.0
192,376360.0
193,479002.0
194,342043.0
195,519646.0
196,391959.0
197,896689.0
198,776940.0
199,692557.0
200,383156.0
201,370172.0
202,382343.0
203,275939.0
204,411591.0
205,278384.0
206,378473.0
207,672850.0
208,575572.0
209,818736.0
210,403513.0
211,481855.0
212,290105.0
213,428698.0
214,328746.0
215,322974.0
216,400249.0
217,380694.0
218,678844.0
219,573743.0
220,255510.0
221,286920.0
222,223738.0
223,277680.0
224,295924.0
225,289252.0
226,238213.0
227,316061.0
228,580490.0
229,342195.0
230,296920.0
231,163308.0
232,204443.0
233,255226.0
234,284829.0
235,372565.0
236,174863.0
237,180125.0
238,446539.0
239,551241.0
240,661936.0
241,288613.0
242,293257.0
243,198083.0
244,187427.0
245,281571.0
246,202766.0
247,316137.0
248,459803.0
249,616296.0
250,625179.0
251,305333.0
252,482732.0
253,380715.0
254,482185.0
255,431462.0
256,314079.0
257,321667.0
258,250389.0
259,440680.0
260,677013.0
261,403856.0
262,403655.0
263,335738.0
264,293403.0
265,307896.0
266,263777.0
267,324507.0
268,194117.0
269,318618.0
270,474535.0
271,500348.0
272,459441.0
273,215391.0
274,210743.0
275,292188.0
276,211965.0
277,256191.0
278,237740.0
279,290059.0
280,655600.0
281,396949.0
282,554760.0
283,231364.0
284,248352.0
285,336047.0
286,306330.0
287,441716.0
288,225267.0
289,282547.0
290,317006.0
291,455728.0
292,885021.0
293,348573.0
294,429927.0
295,358310.0
296,377993.0
297,399132.0
298,301244.0
299,435106.0
300,313446.0
301,610853.0
302,685554.0
303,619191.0
304,358961.0
305,343135.0
306,454564.0
307,277122.0
308,570301.0
309,239845.0
310,398269.0
311,424415.0
312,526550.0
313,558121.0
314,416909.0
315,517178.0
316,307749.0
317,485809.0
318,288065.0
319,654534.0
320,741746.0
321,404261.0
322,771991.0
323,1231660.0
324,489870.0
325,381811.0
326,433842.0
327,292116.0
328,711159.0
329,343600.0
330,538124.0
331,355918.0
332,696371.0
333,468383.0
334,916583.0
335,553765.0
336,727019.0
337,513936.0
338,535671.0
339,772521.0
340,344270.0
341,465541.0
342,225411.0
343,296705.0
344,401006.0
345,272693.0
346,483543.0
347,311446.0
348,485173.0
349,788453.0
350,584284.0
351,856780.0
352,504319.0
353,594789.0
354,359357.0
355,537277.0
356,480359.0
357,473250.0
358,401236.0
359,388513.0
360,316357.0
361,502851.0
362,352741.0
363,361061.0
364,519100.0
365,445783.0
366,429692.0
367,371742.0
368,294486.0
369,328609.0
370,253460.0
371,380623.0
372,230633.0
373,254707.0
374,364593.0
375,406523.0
376,536005.0
377,165109.0
378,213290.0
379,251186.0
380,187146.0
381,317784.0
382,271049.0
383,290947.0
384,204561.0
385,371546.0
386,449774.0
387,257208.0
388,224459.0
389,207138.0
390,214002.0
391,276387.0
392,183075.0
393,195073.0
