interval,IPC
0,1.8023099999999999
1,1.82592
2,1.6715799999999998
3,1.78367
4,1.39774
5,1.41882
6,1.37566
7,1.08901
8,1.22865
9,0.965325
10,1.50401
11,1.1014
12,1.06287
13,1.17412
14,1.43412
15,1.52399
16,1.38679
17,1.49114
18,1.26789
19,1.41293
20,1.2379799999999999
21,0.925633
22,1.14757
23,0.8751329999999999
24,1.23107
25,1.006
26,1.06378
27,1.03326
28,1.08143
29,1.2804
30,1.3321100000000001
31,1.10546
32,1.0413700000000001
33,0.8714200000000001
34,1.11115
35,0.9092309999999999
36,1.12154
37,1.084
38,1.09802
39,1.2535100000000001
40,1.2274100000000001
41,1.1701
42,1.0065
43,1.03335
44,1.1164
45,0.902264
46,1.14288
47,0.9900760000000001
48,1.01569
49,1.4388299999999998
50,1.24125
51,1.2115
52,0.922032
53,1.02793
54,1.13871
55,0.964311
56,1.12495
57,0.93758
58,0.949298
59,1.25881
60,1.3511
61,1.30397
62,0.913558
63,1.02755
64,0.9776959999999999
65,0.998482
66,1.2166700000000001
67,1.01801
68,1.0012
69,1.175
70,1.14533
71,1.43353
72,0.979641
73,1.18533
74,0.885301
75,0.958116
76,1.09991
77,1.0031700000000001
78,1.1829100000000001
79,1.19449
80,1.22011
81,1.27118
82,0.9934850000000001
83,1.16729
84,0.9869040000000001
85,1.1032600000000001
86,0.9614290000000001
87,0.910733
88,1.15022
89,1.08223
90,1.4697
91,1.1485100000000001
92,1.07075
93,1.0184600000000001
94,1.03091
95,1.1361
96,1.0346799999999998
97,0.967785
98,1.08284
99,0.937826
100,1.53035
101,1.39658
102,1.2296200000000002
103,0.926873
104,1.0307600000000001
105,1.1004399999999999
106,1.07457
107,1.17931
108,0.974511
109,1.13218
110,1.14037
111,1.41858
112,1.1115700000000002
113,1.00244
114,1.0507600000000001
115,0.8948799999999999
116,0.959699
117,1.05484
118,0.995914
119,1.1957200000000001
120,1.08734
121,1.34568
122,1.09491
123,1.03061
124,1.18075
125,0.987735
126,1.07231
127,0.933801
128,0.9604290000000001
129,1.15483
130,1.2977299999999998
131,1.3826
132,1.06663
133,0.994842
134,1.06368
135,0.997784
136,1.18554
137,0.952543
138,1.0789
139,0.939544
140,1.1904
141,1.42214
142,1.21379
143,1.01589
144,0.9440639999999999
145,0.924682
146,1.10945
147,0.991812
148,1.17474
149,0.918191
150,1.03946
151,1.1869100000000001
152,1.33126
153,1.23973
154,0.980258
155,0.9662059999999999
156,0.997776
157,0.879798
158,1.1699700000000002
159,1.0014299999999998
160,1.27613
161,1.38097
162,1.24654
163,1.62825
164,1.74859
165,1.63065
166,1.4844899999999999
167,1.57998
168,1.4690299999999998
169,0.9438690000000001
170,0.9712559999999999
171,1.05751
172,0.994934
173,1.15215
174,0.980275
175,1.1008
