interval,IPC
0,2.22224
1,2.20149
2,2.1415900000000003
3,2.19572
4,2.07357
5,2.08105
6,2.06791
7,2.02719
8,2.04736
9,2.00393
10,2.08034
11,2.06155
12,2.01424
13,2.02622
14,2.06815
15,2.10973
16,2.52517
17,2.96362
18,2.80165
19,0.57987
20,0.5108189999999999
21,0.36494899999999997
22,0.344879
23,0.3276
24,0.328452
25,0.333581
26,0.319046
27,0.351074
28,0.286139
29,0.403351
30,0.344563
31,0.371291
32,0.34120300000000003
33,0.308273
34,0.339005
35,0.296283
36,0.298561
37,0.345696
38,0.30418
39,0.403413
40,0.385808
41,0.424353
42,0.30765
43,0.290025
44,0.35352100000000003
45,0.304316
46,0.337407
47,0.293179
48,0.29670100000000005
49,0.322889
50,0.398411
51,0.47448900000000005
52,0.346478
53,0.29178699999999996
54,0.32626
55,0.287954
56,0.348988
57,0.316986
58,0.319847
59,0.334244
60,0.32671999999999995
61,0.408308
62,0.38798699999999997
63,0.337858
64,0.30334099999999997
65,0.309636
66,0.31888
67,0.306199
68,0.32211300000000004
69,0.303106
70,0.302725
71,0.424701
72,0.39817199999999997
73,0.360744
74,0.295808
75,0.301793
76,0.317085
77,0.305371
78,0.34623000000000004
79,0.30799499999999996
80,0.291259
81,0.381546
82,0.361835
83,0.42055
84,0.3044
85,0.346416
86,0.314375
87,0.302299
88,0.41343199999999997
89,0.339791
90,0.356619
91,0.382571
92,0.44172799999999995
93,0.502067
94,0.376717
95,0.396014
96,1.10181
97,2.64532
98,2.5762400000000003
99,2.49269
100,2.45662
101,2.42897
102,2.4396
103,2.46585
104,2.44395
105,2.40808
106,2.39456
107,2.3772900000000003
108,2.37505
109,2.37093
110,2.37485
111,2.32972
112,1.89002
113,0.9745879999999999
114,1.06762
115,0.946385
116,0.504089
117,0.41613
118,0.357819
119,0.336453
120,0.364054
121,0.339169
122,0.331489
123,0.344951
124,0.397997
125,0.390212
126,0.29083600000000004
127,0.305622
128,0.282382
129,0.337047
130,0.312415
131,0.31864499999999996
132,0.327901
133,0.308696
134,0.39329400000000003
135,0.37514699999999995
136,0.34867800000000004
137,0.299632
138,0.29444499999999996
139,0.3164
140,0.276439
141,0.309556
142,0.28673000000000004
143,0.275454
144,0.352054
145,0.357091
146,0.408474
147,0.266581
148,0.290478
149,0.316567
150,0.274226
151,0.299865
152,0.30199299999999996
153,0.28713299999999997
154,0.313664
155,0.335625
156,0.41677200000000003
157,0.327948
158,0.278882
159,0.31216900000000003
160,0.347378
161,0.322841
162,0.28315999999999997
163,0.272712
164,0.347238
165,0.32210900000000003
166,0.332345
167,0.406513
168,0.38139
169,0.393969
170,0.33426100000000003
171,0.358819
172,0.356518
173,0.36695300000000003
174,0.335982
175,0.27529000000000003
176,0.33202
177,0.264943
178,0.28668299999999997
179,0.307541
180,0.26508400000000004
181,0.281364
182,0.35168299999999997
183,0.44255500000000003
184,0.510851
185,0.460765
186,0.46264399999999994
187,0.415546
188,0.48706099999999997
189,0.414872
190,0.456829
191,0.414382
192,0.41964300000000004
193,0.414079
194,0.340329
195,0.369867
196,0.376321
197,0.529573
198,0.510007
199,0.438759
200,0.375904
201,0.314657
202,0.328435
203,0.290666
204,0.344408
205,0.308567
206,0.32500100000000004
207,0.43245600000000006
208,0.41511899999999996
209,0.491263
210,0.396983
211,0.347925
212,0.309575
213,0.308827
214,0.330412
215,0.307235
216,0.343943
217,0.369157
218,0.421314
219,0.406722
220,0.326826
221,0.35586599999999996
222,0.342932
223,0.36182
224,0.329477
225,0.332472
226,0.33517800000000003
227,0.324121
228,0.40211399999999997
229,0.39614099999999997
230,0.362121
231,0.305185
232,0.300028
