interval,IPC
0,2.2330099999999997
1,2.19285
2,2.11637
3,2.1583200000000002
4,2.0834799999999998
5,2.05989
6,2.07689
7,1.9880000000000002
8,2.00535
9,2.01781
10,2.03991
11,2.0453900000000003
12,1.9376900000000001
13,1.9902799999999998
14,2.06113
15,2.08165
16,2.38131
17,2.8791900000000004
18,2.80265
19,1.02373
20,0.417894
21,0.30906999999999996
22,0.36590700000000004
23,0.285267
24,0.374938
25,0.338279
26,0.317898
27,0.32606399999999996
28,0.327256
29,0.394595
30,0.404671
31,0.34173000000000003
32,0.303578
33,0.276619
34,0.347061
35,0.28928899999999996
36,0.35076
37,0.33418000000000003
38,0.329742
39,0.406885
40,0.375902
41,0.38142
42,0.307859
43,0.331177
44,0.330239
45,0.275964
46,0.330971
47,0.307977
48,0.300183
49,0.47372
50,0.380589
51,0.37687
52,0.272316
53,0.327664
54,0.34324699999999997
55,0.299097
56,0.329129
57,0.292523
58,0.282032
59,0.412234
60,0.41405600000000004
61,0.418559
62,0.269943
63,0.319536
64,0.293403
65,0.313578
66,0.351116
67,0.322845
68,0.293435
69,0.34898
70,0.349711
71,0.44879300000000005
72,0.295443
73,0.347735
74,0.26211799999999996
75,0.283887
76,0.329183
77,0.303815
78,0.346615
79,0.26036
80,0.265336
81,0.393741
82,0.21946300000000002
83,0.27002600000000004
84,0.292608
85,0.244162
86,0.278345
87,0.280455
88,0.340111
89,0.338145
90,0.520438
91,0.42792299999999994
92,0.371608
93,0.350973
94,0.362712
95,0.41998199999999997
96,0.360551
97,0.344052
98,0.573858
99,2.67464
100,2.64785
101,2.59004
102,2.49515
103,2.4050700000000003
104,2.40521
105,2.42489
106,2.44359
107,2.42469
108,2.36614
109,2.356
110,2.39138
111,2.43697
112,2.33474
113,2.2404900000000003
114,2.18615
115,0.7994439999999999
116,0.8026979999999999
117,0.929683
118,0.843242
119,0.47318699999999997
120,0.369287
121,0.451858
122,0.278752
123,0.315603
124,0.34821399999999997
125,0.301781
126,0.30721
127,0.27376100000000003
128,0.271262
129,0.330557
130,0.359155
131,0.408053
132,0.29162
133,0.303108
134,0.300241
135,0.2951
136,0.330863
137,0.277307
138,0.29672600000000005
139,0.27173
140,0.335183
141,0.44096599999999997
142,0.343777
143,0.289084
144,0.25952600000000003
145,0.250458
146,0.316833
147,0.289313
148,0.317238
149,0.260996
150,0.295665
151,0.354221
152,0.391331
153,0.36285700000000004
154,0.276107
155,0.274127
156,0.280314
157,0.252013
158,0.3345
159,0.281366
160,0.36070399999999997
161,0.320633
162,0.312969
163,0.44846800000000003
164,0.45807
165,0.38557199999999997
166,0.42840200000000006
167,0.43904799999999994
168,0.414095
169,0.257021
170,0.263072
171,0.28839499999999996
172,0.270242
173,0.316326
174,0.2683
175,0.29999699999999996
176,0.419465
177,0.3858
178,0.360113
179,0.387812
180,0.412891
181,0.3502
182,0.37037
183,0.279437
184,0.29756
185,0.335171
186,0.350139
187,0.412955
188,0.309773
189,0.349172
190,0.351454
191,0.42286999999999997
192,0.5329430000000001
193,0.395951
194,0.382966
195,0.263831
196,0.304634
197,0.32882
198,0.294011
199,0.292381
200,0.250774
201,0.373528
202,0.466106
203,0.461012
204,0.344502
205,0.27571
206,0.328782
207,0.29239499999999996
208,0.280114
209,0.280129
210,0.31997
211,0.355959
212,0.385964
213,0.429346
214,0.32092800000000005
215,0.27178
216,0.270735
217,0.294794
218,0.271547
219,0.252379
220,0.343435
221,0.370261
222,0.381788
223,0.36801
224,0.24376199999999998
225,0.30299
226,0.247498
227,0.324966
228,0.320686
229,0.257374
230,0.27907600000000005
231,0.262236
232,0.338095
233,0.364265
234,0.268216
235,0.336403
236,0.29436999999999997
237,0.359989
238,0.319087
239,0.320443
240,0.322166
241,0.29732800000000004
242,0.338308
243,0.348938
