interval,hitsL3
0,7308.0
1,4942.0
2,38604.0
3,127505.0
4,104268.0
5,138874.0
6,503372.0
7,1100280.0
8,1528300.0
9,1431840.0
10,2405590.0
11,3090190.0
12,3230010.0
13,1525910.0
14,83722.0
15,189498.0
16,3382.0
17,3839.0
18,1031950.0
19,161208.0
20,325614.0
21,2062720.0
22,1466520.0
23,1205540.0
24,1899760.0
25,3214530.0
26,3164350.0
27,3189060.0
28,606010.0
29,153495.0
30,148251.0
31,1059570.0
32,1114810.0
33,1167100.0
34,2152070.0
35,3387000.0
36,3159770.0
37,3232950.0
38,1161420.0
39,152247.0
40,148561.0
41,724516.0
42,1437980.0
43,1233970.0
44,1613270.0
45,3305640.0
46,3238900.0
47,3315410.0
48,1866840.0
49,126381.0
50,145649.0
51,657132.0
52,1159770.0
53,1177970.0
54,1138740.0
55,3325120.0
56,3247650.0
57,3193420.0
58,2772060.0
59,1121830.0
60,203711.0
61,544144.0
62,1416510.0
63,1769190.0
64,1119810.0
65,2827420.0
66,3076610.0
67,3137480.0
68,3286700.0
69,269046.0
70,95709.0
71,292504.0
72,1161040.0
73,1189260.0
74,1241640.0
75,2216010.0
76,3293630.0
77,3314600.0
78,3138190.0
79,419740.0
80,90485.0
81,167405.0
82,1045410.0
83,1057390.0
84,1145040.0
85,2769740.0
86,3358120.0
87,3380150.0
88,3181790.0
89,1058510.0
90,151465.0
91,156641.0
92,1330700.0
93,2533700.0
94,1156990.0
95,1624490.0
96,3289470.0
97,3336570.0
98,3267300.0
99,1570290.0
100,86442.0
101,171606.0
102,900778.0
103,1533160.0
104,1168290.0
105,1841470.0
106,3160540.0
107,3011440.0
108,3342580.0
109,1290930.0
110,77111.0
111,210046.0
112,963752.0
113,1370240.0
114,1180630.0
115,1524470.0
116,3372400.0
117,3182460.0
118,3302500.0
119,1760420.0
120,73338.0
121,145191.0
122,653973.0
123,1111300.0
124,1061250.0
125,1521490.0
126,3253860.0
127,3383000.0
128,3395230.0
129,1928690.0
130,541643.0
131,145587.0
132,597626.0
133,1135340.0
134,1114600.0
135,1102350.0
136,2940840.0
137,3292910.0
138,3159150.0
139,2709780.0
140,70086.0
141,183940.0
142,421702.0
143,1731720.0
144,1274430.0
145,1513370.0
146,2408170.0
147,3171760.0
148,3171240.0
149,3205750.0
150,1008630.0
151,137736.0
152,141881.0
153,692191.0
154,1141550.0
155,1545980.0
156,1129260.0
157,3262750.0
158,3141080.0
159,3326970.0
160,2038990.0
