interval,hitsL3
0,23116700.0
1,7720210.0
2,9421390.0
3,1278330.0
4,1610000.0
5,1757830.0
6,1872950.0
7,1071950.0
8,1445340.0
9,1436680.0
10,1811130.0
11,1413430.0
12,1701480.0
13,2594280.0
14,2687610.0
15,2426810.0
16,2680490.0
17,2671690.0
18,2934000.0
19,2148840.0
20,2088240.0
21,1941910.0
22,2124000.0
23,2246220.0
24,2764670.0
25,1983000.0
26,2387020.0
27,3267220.0
28,2491240.0
29,2472370.0
30,2260430.0
31,3099280.0
32,1880290.0
33,2409850.0
34,2374650.0
35,2706380.0
36,3197500.0
37,2221440.0
38,2489240.0
39,2105400.0
40,2646360.0
41,1811290.0
42,2174140.0
43,1531760.0
44,2322710.0
45,3197960.0
46,2904970.0
47,3700170.0
48,2585260.0
49,3757660.0
50,3015150.0
51,3034920.0
52,2558990.0
53,3302580.0
54,5482770.0
55,5126460.0
56,4121040.0
57,2818070.0
58,2845820.0
59,1931720.0
60,2327800.0
61,2788500.0
62,2279850.0
63,3397550.0
64,2573960.0
65,2292890.0
66,2069410.0
67,2892160.0
68,2172050.0
69,1973190.0
70,1804160.0
71,1665460.0
72,2754680.0
73,2406470.0
74,2460240.0
75,1914870.0
76,2632630.0
77,2246730.0
78,2483390.0
79,2563110.0
80,1900100.0
81,2688340.0
82,2949350.0
83,3653490.0
84,1991520.0
85,1841020.0
86,2498200.0
87,1869840.0
88,2783960.0
89,2191500.0
90,2306370.0
91,2904940.0
92,3381130.0
93,2331080.0
94,1944430.0
95,2228820.0
96,2065650.0
97,2340660.0
98,2064550.0
99,1912760.0
100,2915900.0
101,2842960.0
102,2472670.0
103,1927700.0
104,2835940.0
105,2203910.0
106,2073900.0
107,2058840.0
108,2143080.0
109,3111050.0
110,3011290.0
111,3367360.0
112,1564240.0
113,2206650.0
114,2314860.0
115,2417450.0
116,2246490.0
117,1661370.0
118,2596070.0
119,2875270.0
120,3815580.0
121,2208020.0
122,2414940.0
123,2226420.0
124,2389230.0
125,2927890.0
126,1962610.0
127,2621430.0
128,2383490.0
129,3055590.0
130,3114330.0
131,2407380.0
132,2607270.0
133,2333260.0
134,2854780.0
135,2093980.0
136,2409360.0
137,2360110.0
138,2580410.0
139,3243740.0
140,2833360.0
141,2803780.0
142,2069520.0
143,2041980.0
144,2147970.0
145,2281290.0
146,2103760.0
147,2153950.0
148,2876150.0
149,2726720.0
150,3995650.0
151,3439430.0
152,3079580.0
153,3816840.0
154,3794060.0
155,2962580.0
156,2601680.0
157,2804520.0
158,2452310.0
159,1972380.0
160,1980140.0
161,2355480.0
162,2178300.0
163,3434540.0
164,2640930.0
165,3053640.0
166,3251340.0
167,3943840.0
168,3697000.0
169,4333760.0
170,3169230.0
171,3095950.0
172,2808950.0
173,2722940.0
174,2323640.0
175,2674040.0
176,3142560.0
177,4349900.0
178,4548450.0
179,3096210.0
180,3117150.0
181,2520160.0
182,3769010.0
183,2320300.0
184,3119470.0
185,3711710.0
186,4148770.0
187,3989350.0
188,2462800.0
189,3304210.0
190,3149840.0
191,3267220.0
192,2811050.0
193,3063400.0
194,2427550.0
195,3177760.0
196,2985660.0
197,2654490.0
198,2259900.0
199,1970320.0
200,2593540.0
201,2130820.0
202,2804530.0
203,2490390.0
204,3087820.0
205,2890120.0
206,2663300.0
207,2325420.0
208,2429240.0
209,2972140.0
210,2762060.0
211,3087270.0
212,3876950.0
213,3442250.0
214,2801470.0
215,3106410.0
216,2707880.0
217,2616890.0
218,2898380.0
219,2649060.0
220,3060520.0
221,3174120.0
222,3348310.0
223,3012510.0
224,3247380.0
225,2530470.0
226,2429670.0
227,2969940.0
228,2350780.0
229,3208740.0
230,2723470.0
231,3407460.0
232,2987340.0
233,3429930.0
234,3471710.0
235,3044500.0
236,3183260.0
237,2715950.0
238,3231130.0
239,2862680.0
240,3362540.0
241,3197700.0
242,3627300.0
243,3988870.0
244,3382090.0
245,3352320.0
246,2630600.0
247,2894640.0
248,2589690.0
249,3587500.0
250,3621520.0
251,4203190.0
252,4263360.0
253,3580760.0
254,3473420.0
255,3101580.0
256,3248440.0
257,2777280.0
258,2924610.0
259,2923360.0
260,3315290.0
261,4024620.0
262,3090650.0
263,3524440.0
264,2920020.0
265,3393930.0
266,2677890.0
267,2952550.0
268,3262580.0
269,2874250.0
